NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	GNAI1	482	4.190359592437744	-4.683157E-4	No	
row_1	PPARG	1191	3.2850818634033203	-0.034780655	No	
row_2	LPL	1233	3.2567505836486816	-0.014393585	No	
row_3	PDK3	2670	2.2254810333251953	-0.12194973	No	
row_4	ALDOC	2784	2.1582820415496826	-0.12084544	No	
row_5	NFIL3	3450	1.7790193557739258	-0.1687007	No	
row_6	AVPR1A	3918	1.4970130920410156	-0.20226592	No	
row_7	ABCA2	4550	1.0951529741287231	-0.25171763	No	
row_8	MVK	4739	0.9940305948257446	-0.26503736	No	
row_9	FADS2	4968	0.8401716351509094	-0.28229493	No	
row_10	PNRC1	5113	0.748876690864563	-0.29293668	No	
row_11	ANXA5	5285	0.6351486444473267	-0.3061623	No	
row_12	ATF3	5486	0.5016542077064514	-0.3221244	No	
row_13	ANXA13	5745	0.3441418707370758	-0.3431777	No	
row_14	SCD	5959	0.2241443246603012	-0.3606655	No	
row_15	HMGCR	6406	-0.039793696254491806	-0.39751536	No	
row_16	IDI1	6843	-0.3239690065383911	-0.4333072	No	
row_17	SREBF2	6885	-0.34990784525871277	-0.43642062	No	
row_18	TMEM97	7168	-0.5446402430534363	-0.45905763	No	
row_19	TRIB3	7276	-0.6103257536888123	-0.46706417	No	
row_20	PLAUR	7556	-0.7827913165092468	-0.48874468	No	
row_21	LDLR	7568	-0.7873979210853577	-0.48826385	No	
row_22	CTNNB1	7577	-0.7919120192527771	-0.48751915	No	
row_23	LGMN	7638	-0.8326143622398376	-0.49092308	No	
row_24	ECH1	7791	-0.9376235008239746	-0.50151235	No	
row_25	FASN	7893	-1.0010908842086792	-0.50761163	No	
row_26	JAG1	8095	-1.148887038230896	-0.5212617	No	
row_27	HMGCS1	8291	-1.2647080421447754	-0.5337894	No	
row_28	CHKA	8493	-1.425961971282959	-0.5458403	No	
row_29	MVD	8573	-1.475049376487732	-0.547491	No	
row_30	STX5	8620	-1.5052671432495117	-0.5462131	No	
row_31	LSS	8651	-1.5200302600860596	-0.5435129	No	
row_32	ACAT2	8983	-1.7597527503967285	-0.5639222	No	
row_33	PMVK	9806	-2.3631081581115723	-0.61932737	Yes	
row_34	TNFRSF12A	9956	-2.4810221195220947	-0.61784154	Yes	
row_35	TM7SF2	10161	-2.654533863067627	-0.618903	Yes	
row_36	ALCAM	10201	-2.6972362995147705	-0.60581803	Yes	
row_37	FDFT1	10285	-2.772057294845581	-0.5954516	Yes	
row_38	NSDHL	10289	-2.775235652923584	-0.5784351	Yes	
row_39	ETHE1	10453	-2.9304678440093994	-0.5726543	Yes	
row_40	CLU	10830	-3.3283493518829346	-0.57889175	Yes	
row_41	GUSB	10938	-3.4645609855651855	-0.5608274	Yes	
row_42	SC5D	11018	-3.5779340267181396	-0.53865963	Yes	
row_43	DHCR7	11051	-3.624863624572754	-0.51185054	Yes	
row_44	SQLE	11137	-3.7295939922332764	-0.48769435	Yes	
row_45	S100A11	11168	-3.7783188819885254	-0.45817345	Yes	
row_46	PLSCR1	11305	-3.980229616165161	-0.43389997	Yes	
row_47	FDPS	11342	-4.040815830230713	-0.40027407	Yes	
row_48	LGALS3	11380	-4.102929592132568	-0.36559692	Yes	
row_49	SEMA3B	11462	-4.26980447769165	-0.3314236	Yes	
row_50	PCYT2	11503	-4.331377029418945	-0.29267535	Yes	
row_51	CBS	11812	-5.261454105377197	-0.2560728	Yes	
row_52	EBP	11877	-5.602725028991699	-0.1909974	Yes	
row_53	GLDC	11928	-5.8466644287109375	-0.11850461	Yes	
row_54	CD9	12091	-7.825276851654053	0.0053710197	Yes	
