NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	LEFTY2	36	6.800219535827637	0.04812661	Yes	
row_1	LRP1	167	5.239090442657471	0.0676604	Yes	
row_2	ANG	358	4.4803338050842285	0.07405299	Yes	
row_3	CPQ	405	4.350898742675781	0.091155015	Yes	
row_4	THBD	445	4.262174129486084	0.10799428	Yes	
row_5	PROS1	525	4.096141815185547	0.11997359	Yes	
row_6	ITIH1	575	4.0159831047058105	0.13372846	Yes	
row_7	ITGA2	794	3.698835611343384	0.13072683	Yes	
row_8	MASP2	888	3.571425676345825	0.13709448	Yes	
row_9	DCT	979	3.489492654800415	0.14307205	Yes	
row_10	ACOX2	1164	3.303997755050659	0.13984081	Yes	
row_11	P2RY1	1206	3.275447130203247	0.14829183	Yes	
row_12	FBN1	1211	3.2731354236602783	0.15980251	Yes	
row_13	C8B	1225	3.2625434398651123	0.17048836	Yes	
row_14	GP9	1290	3.1876115798950195	0.17639945	Yes	
row_15	F2RL2	1373	3.114755392074585	0.18030633	Yes	
row_16	FYN	1436	3.058103084564209	0.18548954	Yes	
row_17	TIMP3	1468	3.033480167388916	0.19308448	Yes	
row_18	CPN1	1483	3.022613525390625	0.20202014	Yes	
row_19	HNF4A	1503	3.0019497871398926	0.21040246	Yes	
row_20	TF	1512	2.9950551986694336	0.21965368	Yes	
row_21	F8	1615	2.9287264347076416	0.2206548	Yes	
row_22	MMP14	1623	2.920592784881592	0.22950222	Yes	
row_23	F9	1629	2.91412353515625	0.23847419	Yes	
row_24	PLG	1668	2.887845993041992	0.2445338	Yes	
row_25	ITGB3	1774	2.8145294189453125	0.24456047	Yes	
row_26	F10	1812	2.7968978881835938	0.25013167	Yes	
row_27	SERPINE1	1832	2.7892038822174072	0.25715202	Yes	
row_28	GP1BA	2042	2.627955675125122	0.24740894	Yes	
row_29	C9	2110	2.577143430709839	0.24918026	Yes	
row_30	DPP4	2148	2.546449899673462	0.25327212	Yes	
row_31	PROZ	2276	2.464120388031006	0.24942479	Yes	
row_32	PF4	2296	2.449308395385742	0.2544768	Yes	
row_33	MBL2	2387	2.39548397064209	0.25333714	Yes	
row_34	CFH	2423	2.373612880706787	0.25665525	Yes	
row_35	F3	2431	2.370694398880005	0.26228613	Yes	
row_36	CTSK	2520	2.317203998565674	0.26090497	Yes	
row_37	MMP8	2601	2.2750065326690674	0.25997478	Yes	
row_38	APOC3	2609	2.2691783905029297	0.26508495	Yes	
row_39	BMP1	2633	2.254045009613037	0.26878914	Yes	
row_40	MMP2	2655	2.2385573387145996	0.27258268	Yes	
row_41	KLF7	2886	2.105029582977295	0.25835752	No	
row_42	FGA	2970	2.0499768257141113	0.256102	No	
row_43	SIRT2	3064	1.987931489944458	0.25273803	No	
row_44	MMP3	3130	1.9423178434371948	0.25150397	No	
row_45	RGN	3211	1.8988239765167236	0.24883807	No	
row_46	F13B	3219	1.8953485488891602	0.25222725	No	
row_47	FGG	3409	1.797566533088684	0.24008462	No	
row_48	F11	3442	1.7823320627212524	0.24093567	No	
row_49	HTRA1	3444	1.7817809581756592	0.24436209	No	
row_50	VWF	3495	1.7549115419387817	0.24360928	No	
row_51	KLKB1	3534	1.7255961894989014	0.24374144	No	
row_52	SERPINC1	3558	1.7099864482879639	0.2450615	No	
row_53	MEP1A	3583	1.6902002096176147	0.24622406	No	
row_54	CFD	4308	1.2370784282684326	0.18771793	No	
row_55	CTSE	4737	0.9947875142097473	0.1532253	No	
row_56	CTSO	4855	0.9180877804756165	0.14442897	No	
row_57	PDGFB	4946	0.8540766835212708	0.13775218	No	
row_58	DUSP14	4975	0.8365507125854492	0.1361977	No	
row_59	TIMP1	4997	0.8223286867141724	0.13519917	No	
row_60	SERPINB2	5011	0.8140992522239685	0.13485092	No	
row_61	TFPI2	5106	0.7524662613868713	0.1276611	No	
row_62	HMGCS2	5297	0.6277769207954407	0.11229897	No	
row_63	PLAT	5301	0.6226443648338318	0.11247811	No	
row_64	PREP	5308	0.6193958520889282	0.11240334	No	
row_65	PLEK	5325	0.6070298552513123	0.11148035	No	
row_66	FURIN	5406	0.5506324768066406	0.10516382	No	
row_67	TMPRSS6	5456	0.5192345380783081	0.101387694	No	
row_68	SPARC	5626	0.41071009635925293	0.08752245	No	
row_69	CSRP1	5777	0.3264042139053345	0.07516828	No	
row_70	RABIF	5778	0.3261110484600067	0.07528585	No	
row_71	F2	5992	0.20335079729557037	0.05762141	No	
row_72	MAFF	6170	0.10332704335451126	0.042916324	No	
row_73	CPB2	6272	0.044692255556583405	0.03452076	No	
row_74	THBS1	6279	0.03678314760327339	0.034023378	No	
row_75	CASP9	6316	0.015597252175211906	0.031030383	No	
row_76	C8A	6325	0.010883781127631664	0.030365344	No	
row_77	COMP	6464	-0.07279300689697266	0.01889702	No	
row_78	C8G	6486	-0.08483000844717026	0.017158903	No	
row_79	MMP10	6617	-0.16528524458408356	0.0063800905	No	
row_80	CAPN2	6710	-0.22953154146671295	-0.0012111239	No	
row_81	HRG	6796	-0.292667418718338	-0.008183868	No	
row_82	ISCU	7282	-0.61256343126297	-0.048094995	No	
row_83	FN1	7395	-0.6859049797058105	-0.05688729	No	
row_84	MSRB2	7451	-0.71781986951828	-0.06089073	No	
row_85	MMP1	7479	-0.7376917004585266	-0.0625341	No	
row_86	CAPN5	7579	-0.7925130724906921	-0.070071265	No	
row_87	PROC	7584	-0.7956889867782593	-0.06970396	No	
row_88	LGMN	7638	-0.8326143622398376	-0.07334435	No	
row_89	WDR1	7787	-0.9326027035713196	-0.08468852	No	
row_90	GSN	7818	-0.9523257613182068	-0.08618034	No	
row_91	DUSP6	7862	-0.9751035571098328	-0.08870453	No	
row_92	SERPING1	7944	-1.0418461561203003	-0.09423945	No	
row_93	C1S	7957	-1.05152428150177	-0.0940149	No	
row_94	C1R	8023	-1.0908656120300293	-0.09810391	No	
row_95	PLAU	8045	-1.1093112230300903	-0.098489635	No	
row_96	A2M	8105	-1.1570199728012085	-0.10191539	No	
row_97	USP11	8120	-1.164096713066101	-0.1015814	No	
row_98	LAMP2	8136	-1.1695901155471802	-0.101316385	No	
row_99	SH2B2	8176	-1.1915260553359985	-0.10298963	No	
row_100	MMP11	8204	-1.210482120513916	-0.10361478	No	
row_101	LTA4H	8242	-1.2369122505187988	-0.104999885	No	
row_102	PEF1	8451	-1.3943824768066406	-0.120144956	No	
row_103	RAC1	8557	-1.465484857559204	-0.12650117	No	
row_104	OLR1	8846	-1.666808009147644	-0.14737605	No	
row_105	CTSH	8877	-1.6886496543884277	-0.14671816	No	
row_106	ADAM9	9068	-1.8135931491851807	-0.15887995	No	
row_107	C1QA	9289	-1.9624813795089722	-0.17291462	No	
row_108	CFI	9327	-1.9883713722229004	-0.17162046	No	
row_109	F12	9584	-2.181528329849243	-0.18764493	No	
row_110	RAPGEF3	9630	-2.2246408462524414	-0.18591554	No	
row_111	MMP15	9689	-2.278564929962158	-0.18499863	No	
row_112	PRSS23	9745	-2.3245186805725098	-0.18359843	No	
row_113	CTSV	10039	-2.5345041751861572	-0.20085911	No	
row_114	MMP9	10074	-2.5762932300567627	-0.19634882	No	
row_115	APOC1	10412	-2.8963048458099365	-0.21509583	No	
row_116	APOA1	10665	-3.1358413696289062	-0.22517814	No	
row_117	GNB2	10744	-3.224026918411255	-0.22017297	No	
row_118	CLU	10830	-3.3283493518829346	-0.21499419	No	
row_119	CTSB	11017	-3.576007127761841	-0.21632294	No	
row_120	C3	11133	-3.7254698276519775	-0.21054192	No	
row_121	ANXA1	11157	-3.764847993850708	-0.19678536	No	
row_122	CRIP2	11255	-3.902371644973755	-0.18801601	No	
row_123	SERPINA1	11263	-3.91683292388916	-0.1716385	No	
row_124	S100A1	11712	-4.84966516494751	-0.18288837	No	
row_125	HPN	11761	-5.01966667175293	-0.159025	No	
row_126	S100A13	11892	-5.701777458190918	-0.13389514	No	
row_127	MMP7	11939	-5.93491792678833	-0.0987819	No	
row_128	CFB	12028	-6.6554059982299805	-0.057132944	No	
row_129	CD9	12091	-7.825276851654053	0.0054049226	No	
