NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	RFC1	1983	2.6745619773864746	-0.15964536	No	
row_1	CDKN1A	2058	2.618165969848633	-0.16019993	No	
row_2	PRPS1	2154	2.544184923171997	-0.16282049	No	
row_3	PPM1D	2167	2.5352272987365723	-0.15855072	No	
row_4	CCP110	2265	2.4710803031921387	-0.16163892	No	
row_5	DIAPH3	2425	2.3725461959838867	-0.17029338	No	
row_6	GINS3	2559	2.2974720001220703	-0.17706528	No	
row_7	PDS5B	2575	2.289548397064209	-0.17401806	No	
row_8	LBR	3897	1.5063707828521729	-0.28241494	No	
row_9	PSMC3IP	4060	1.401055097579956	-0.29432645	No	
row_10	MXD3	4092	1.377864122390747	-0.29535684	No	
row_11	BRCA1	4109	1.369191288948059	-0.29515478	No	
row_12	HUS1	4543	1.099431037902832	-0.330304	No	
row_13	BRCA2	4639	1.0527684688568115	-0.33732423	No	
row_14	DCLRE1B	4738	0.9940750002861023	-0.34469342	No	
row_15	ASF1A	4956	0.8484730124473572	-0.362215	No	
row_16	TP53	5160	0.7216610312461853	-0.37873137	No	
row_17	CDKN2C	5491	0.49963152408599854	-0.40607023	No	
row_18	RAD51C	5507	0.48959261178970337	-0.40712565	No	
row_19	CBX5	5687	0.37279003858566284	-0.42195198	No	
row_20	NAP1L1	5703	0.3675229549407959	-0.4230932	No	
row_21	STAG1	5799	0.31596681475639343	-0.43094054	No	
row_22	PRIM2	5919	0.24730710685253143	-0.44082275	No	
row_23	ORC6	6049	0.1756565272808075	-0.4515645	No	
row_24	PSIP1	6269	0.04644785821437836	-0.4698417	No	
row_25	CENPE	6365	-0.016462678089737892	-0.4777707	No	
row_26	SMC3	6639	-0.185182586312294	-0.50052863	No	
row_27	SMC6	6745	-0.25521978735923767	-0.5092391	No	
row_28	IPO7	6784	-0.2866777777671814	-0.51234335	No	
row_29	DEPDC1	6818	-0.30812421441078186	-0.5150199	No	
row_30	RAD1	6889	-0.3512616455554962	-0.52076125	No	
row_31	RPA2	6991	-0.40867888927459717	-0.5290543	No	
row_32	PAN2	7011	-0.43014854192733765	-0.5304884	No	
row_33	LUC7L3	7221	-0.583283543586731	-0.5476537	No	
row_34	SYNCRIP	7294	-0.6196045279502869	-0.5533483	No	
row_35	DONSON	7325	-0.6410358548164368	-0.5555152	No	
row_36	WEE1	7374	-0.6720166206359863	-0.55915123	No	
row_37	GSPT1	7509	-0.754055917263031	-0.5698693	No	
row_38	SUV39H1	7560	-0.7841221690177917	-0.57353824	No	
row_39	UBR7	7619	-0.8179553747177124	-0.57783055	No	
row_40	HELLS	7647	-0.8421436548233032	-0.57950246	No	
row_41	TIPIN	7726	-0.8933490514755249	-0.58535826	No	
row_42	POLE	7794	-0.9431935548782349	-0.5902208	No	
row_43	MLH1	7911	-1.015940546989441	-0.5990563	No	
row_44	CTCF	7941	-1.037592887878418	-0.60059386	No	
row_45	CDC25B	7964	-1.0545644760131836	-0.60151803	No	
row_46	CDKN1B	7997	-1.0750917196273804	-0.60324097	No	
row_47	RAN	8099	-1.1511898040771484	-0.61058414	No	
row_48	RNASEH2A	8213	-1.2161341905593872	-0.6188027	No	
row_49	CDK4	8216	-1.2196540832519531	-0.6177497	No	
row_50	TMPO	8241	-1.236485242843628	-0.6184989	No	
row_51	ING3	8260	-1.2448047399520874	-0.6187305	No	
row_52	SPAG5	8300	-1.2719584703445435	-0.62065876	No	
row_53	GINS4	8320	-1.2878187894821167	-0.6208844	No	
row_54	CIT	8354	-1.3092666864395142	-0.6222329	No	
row_55	CDC25A	8445	-1.390437126159668	-0.6281592	No	
row_56	STMN1	8460	-1.4013233184814453	-0.6277172	No	
row_57	ZW10	8472	-1.409101128578186	-0.6270069	No	
row_58	MYC	8678	-1.5371448993682861	-0.6421795	No	
row_59	SPC25	8781	-1.616235375404358	-0.64855057	No	
row_60	PPP1R8	8908	-1.7067681550979614	-0.65667814	No	
row_61	KIF18B	8955	-1.740797758102417	-0.6580322	No	
row_62	RPA3	8978	-1.7512540817260742	-0.65735316	No	
row_63	TIMELESS	9039	-1.800729513168335	-0.6597017	No	
row_64	RBBP7	9121	-1.8498156070709229	-0.663656	Yes	
row_65	EXOSC8	9138	-1.856236219406128	-0.6621656	Yes	
row_66	TUBG1	9161	-1.8774162530899048	-0.66111106	Yes	
row_67	POLD1	9208	-1.9122698307037354	-0.6619514	Yes	
row_68	DCK	9218	-1.9194129705429077	-0.6596811	Yes	
row_69	MCM3	9257	-1.943056344985962	-0.65975636	Yes	
row_70	SMC1A	9276	-1.9569650888442993	-0.65811783	Yes	
row_71	AURKA	9292	-1.9632368087768555	-0.65620875	Yes	
row_72	SLBP	9340	-2.000699520111084	-0.6568488	Yes	
