NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	FGF2	13	7.526030540466309	0.044085808	Yes	
row_1	PCOLCE2	19	7.209242343902588	0.085117064	Yes	
row_2	PDGFRB	44	6.578192710876465	0.11762268	Yes	
row_3	EMP3	59	6.243133544921875	0.1475375	Yes	
row_4	LRP1	167	5.239090442657471	0.1604907	Yes	
row_5	SPOCK1	170	5.227510452270508	0.18211697	Yes	
row_6	GEM	220	5.051797389984131	0.19837728	Yes	
row_7	PMP22	295	4.654613018035889	0.20947498	Yes	
row_8	ELN	296	4.647429943084717	0.22669998	Yes	
row_9	SNAI2	322	4.57081413269043	0.24127369	Yes	
row_10	SERPINE2	323	4.56318473815918	0.25787985	Yes	
row_11	DAB2	351	4.501267910003662	0.27178335	Yes	
row_12	IGFBP4	369	4.441646575927734	0.28609687	Yes	
row_13	DST	532	4.082977294921875	0.28586137	Yes	
row_14	MATN3	537	4.072801113128662	0.29875606	Yes	
row_15	FBN2	586	3.997771739959717	0.3074929	Yes	
row_16	SLIT3	682	3.8658034801483154	0.31147668	Yes	
row_17	CAP2	723	3.80722713470459	0.31969562	Yes	
row_18	PRRX1	744	3.7833147048950195	0.32944027	Yes	
row_19	ITGA2	794	3.698835611343384	0.3362587	Yes	
row_20	PTHLH	804	3.6782724857330322	0.346297	Yes	
row_21	FMOD	929	3.5377838611602783	0.34592187	Yes	
row_22	MYLK	1093	3.3810322284698486	0.3414245	Yes	
row_23	SFRP1	1115	3.3618900775909424	0.3486842	Yes	
row_24	SLIT2	1151	3.3201065063476562	0.3545519	Yes	
row_25	FBN1	1211	3.2731354236602783	0.35816815	Yes	
row_26	GPC1	1248	3.243995428085327	0.36355394	Yes	
row_27	PCOLCE	1266	3.220876455307007	0.37040743	Yes	
row_28	COL5A3	1301	3.176534414291382	0.37561485	Yes	
row_29	FSTL1	1356	3.1303114891052246	0.37891933	Yes	
row_30	ABI3BP	1374	3.1140458583831787	0.3852331	Yes	
row_31	RHOB	1380	3.10516619682312	0.39250508	Yes	
row_32	LAMA2	1437	3.056867837905884	0.39528012	Yes	
row_33	TIMP3	1468	3.033480167388916	0.40011314	Yes	
row_34	ECM2	1486	3.019167900085449	0.40596282	Yes	
row_35	ITGA5	1493	3.008854627609253	0.41268167	Yes	
row_36	SGCD	1559	2.9683985710144043	0.4142799	Yes	
row_37	MMP14	1623	2.920592784881592	0.4158207	Yes	
row_38	ITGB3	1774	2.8145294189453125	0.40961	Yes	
row_39	IL6	1808	2.7995920181274414	0.41310441	Yes	
row_40	SERPINE1	1832	2.7892038822174072	0.41738772	Yes	
row_41	GLIPR1	1844	2.7745211124420166	0.42260817	Yes	
row_42	VEGFC	1871	2.753753423690796	0.42648423	Yes	
row_43	FSTL3	1880	2.7472565174102783	0.43183514	Yes	
row_44	EFEMP2	1899	2.7288665771484375	0.43627056	Yes	
row_45	LOXL2	1958	2.690548896789551	0.4371995	Yes	
row_46	CXCL12	2057	2.6199703216552734	0.43448868	Yes	
row_47	COL8A2	2118	2.5706214904785156	0.4347474	Yes	
row_48	CRLF1	2203	2.5106685161590576	0.43275866	Yes	
row_49	SCG2	2211	2.504021167755127	0.43717447	Yes	
row_50	VIM	2216	2.4992125034332275	0.44182163	Yes	
row_51	QSOX1	2232	2.491344451904297	0.4455188	Yes	
row_52	FOXC2	2355	2.413222074508667	0.43997356	Yes	
row_53	NID2	2426	2.3725297451019287	0.43861616	Yes	
row_54	ECM1	2490	2.337782859802246	0.43771285	Yes	
row_55	LOX	2525	2.314746379852295	0.43914622	Yes	
row_56	EDIL3	2527	2.313983201980591	0.44333294	Yes	
row_57	MSX1	2543	2.3034849166870117	0.4463117	Yes	
row_58	FBLN1	2561	2.2957816123962402	0.4490952	Yes	
row_59	GREM1	2606	2.271188974380493	0.44953403	Yes	
row_60	BMP1	2633	2.254045009613037	0.45141438	Yes	
row_61	MMP2	2655	2.2385573387145996	0.45365685	Yes	
row_62	DKK1	2660	2.235454797744751	0.45730808	Yes	
row_63	RGS4	2690	2.214315176010132	0.4587963	Yes	
row_64	ADAM12	2740	2.191835880279541	0.45853508	No	
row_65	COL16A1	2846	2.1245291233062744	0.453365	No	
row_66	FBLN2	2959	2.0581047534942627	0.44738868	No	
row_67	MGP	2980	2.0433013439178467	0.4490479	No	
row_68	FBLN5	3107	1.9528932571411133	0.44156572	No	
row_69	MMP3	3130	1.9423178434371948	0.44273692	No	
row_70	WIPF1	3169	1.9221514463424683	0.44250965	No	
row_71	GPX7	3244	1.8852406740188599	0.4391635	No	
row_72	SGCB	3293	1.8576760292053223	0.43790665	No	
row_73	TGFB1	3368	1.8169087171554565	0.43435875	No	
row_74	HTRA1	3444	1.7817809581756592	0.43062654	No	
row_75	BDNF	3447	1.7805343866348267	0.43298784	No	
row_76	FZD8	3594	1.6843689680099487	0.42305633	No	
row_77	FAP	3759	1.6012732982635498	0.41140372	No	
row_78	CXCL6	3853	1.534792184829712	0.4055148	No	
row_79	GAS1	3979	1.4537752866744995	0.39676017	No	
row_80	NT5E	4021	1.4212315082550049	0.39494666	No	
row_81	PTX3	4096	1.3761091232299805	0.3902763	No	
row_82	WNT5A	4249	1.2810695171356201	0.3788899	No	
