NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	ACADL	215	5.058180809020996	0.006926498	No	
row_1	CD1D	518	4.112119674682617	-0.00179667	No	
row_2	CD36	573	4.017682075500488	0.009364501	No	
row_3	MAOA	591	3.9935123920440674	0.023415599	No	
row_4	CA4	594	3.9864916801452637	0.03866008	No	
row_5	GAD2	876	3.588404655456543	0.02777296	No	
row_6	ME1	1478	3.0255794525146484	-0.013341814	No	
row_7	GPD1	1563	2.963836908340454	-0.011810697	No	
row_8	AOC3	1577	2.9549038410186768	-0.004425012	No	
row_9	CA6	1657	2.891998052597046	-0.0028859274	No	
row_10	HAO2	1848	2.771998643875122	-0.011239009	No	
row_11	FMO1	1872	2.7520153522491455	-0.005807936	No	
row_12	CIDEA	2134	2.5544025897979736	-0.021190763	No	
row_13	ETFDH	2401	2.389005661010742	-0.037782356	No	
row_14	ALDH1A1	2621	2.2608370780944824	-0.051042367	No	
row_15	UGDH	2667	2.230259895324707	-0.04996208	No	
row_16	RDH16	2789	2.1557164192199707	-0.05552058	No	
row_17	FABP1	2860	2.1189486980438232	-0.056989267	No	
row_18	FABP2	3020	2.0185186862945557	-0.06626399	No	
row_19	CYP1A1	3080	1.9722039699554443	-0.06739986	No	
row_20	ADH1C	3177	1.918190598487854	-0.0718172	No	
row_21	GAPDHS	3197	1.9064013957977295	-0.069873326	No	
row_22	ADH7	3611	1.6761406660079956	-0.10150264	No	
row_23	ELOVL5	3665	1.6479716300964355	-0.10327766	No	
row_24	G0S2	3757	1.6016048192977905	-0.108359665	No	
row_25	GABARAPL1	3889	1.5138550996780396	-0.117033996	No	
row_26	CRAT	3952	1.477571725845337	-0.12007411	No	
row_27	BLVRA	4027	1.4178458452224731	-0.12428008	No	
row_28	ECI2	4252	1.279755711555481	-0.14132442	No	
row_29	ALDH9A1	4256	1.273764729499817	-0.14000061	No	
row_30	PTPRG	4432	1.1664565801620483	-0.15323785	No	
row_31	CBR3	4433	1.1659398078918457	-0.1519196	No	
row_32	SERINC1	4507	1.1193268299102783	-0.15677685	No	
row_33	HSD17B11	5012	0.8139840364456177	-0.19805749	No	
row_34	MGLL	5100	0.7543784379959106	-0.20474236	No	
row_35	ACSM3	5186	0.7046001553535461	-0.21133131	No	
row_36	HMGCS2	5297	0.6277769207954407	-0.22009903	No	
row_37	HSDL2	5364	0.5820466876029968	-0.22526045	No	
row_38	ACSL4	5370	0.5763304233551025	-0.22535425	No	
row_39	XIST	5455	0.519278347492218	-0.23207995	No	
row_40	CPOX	5512	0.48787301778793335	-0.23650727	No	
row_41	BCKDHB	5521	0.4805321991443634	-0.2369488	No	
row_42	ALDH3A1	5586	0.4332198202610016	-0.24209037	No	
row_43	ALDH3A2	5743	0.3442399501800537	-0.2549517	No	
row_44	RAP1GDS1	5758	0.3370000720024109	-0.2560061	No	
