NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	GNE	50	6.4487738609313965	0.01940177	No	
row_1	CACNA1H	125	5.424734115600586	0.029906247	No	
row_2	GPC3	352	4.494048118591309	0.022485178	No	
row_3	ANG	358	4.4803338050842285	0.033447906	No	
row_4	PGAM2	411	4.343271732330322	0.039800484	No	
row_5	SDC2	757	3.770831823348999	0.019054158	No	
row_6	PFKFB1	826	3.648322343826294	0.020922134	No	
row_7	ADORA2B	1033	3.4315521717071533	0.010396989	No	
row_8	GYS2	1224	3.2632761001586914	5.6915777E-4	No	
row_9	GPC1	1248	3.243995428085327	0.004614753	No	
row_10	CTH	1377	3.111867666244507	-5.832873E-4	No	
row_11	ME1	1478	3.0255794525146484	-0.0037435591	No	
row_12	VLDLR	1761	2.8227169513702393	-0.022773499	No	
row_13	LCT	2014	2.6505563259124756	-0.03983264	No	
row_14	FBP2	2087	2.591042995452881	-0.042038567	No	
row_15	PRPS1	2154	2.544184923171997	-0.043879915	No	
row_16	QSOX1	2232	2.491344451904297	-0.046790615	No	
row_17	CHPF	2512	2.321535110473633	-0.06703172	No	
row_18	DPYSL4	2557	2.298666477203369	-0.06771015	No	
row_19	GLRX	2569	2.292203903198242	-0.06564988	No	
row_20	PDK3	2670	2.2254810333251953	-0.07119203	No	
row_21	ALDH7A1	2674	2.2227659225463867	-0.068641506	No	
row_22	TPST1	2728	2.1982877254486084	-0.07032735	No	
row_23	GAPDHS	3197	1.9064013957977295	-0.107345074	No	
row_24	CHST2	3265	1.8745158910751343	-0.110947505	No	
row_25	SAP30	3326	1.8388335704803467	-0.11404055	No	
row_26	ALDOB	3404	1.7988675832748413	-0.118635535	No	
row_27	GLCE	3440	1.782846212387085	-0.119756036	No	
row_28	PC	3772	1.593183159828186	-0.14595564	No	
row_29	HOMER1	3969	1.4622416496276855	-0.16110952	No	
row_30	NT5E	4021	1.4212315082550049	-0.1642229	No	
row_31	GALK2	4051	1.406751036643982	-0.16552249	No	
row_32	ANGPTL4	4174	1.3324793577194214	-0.17470294	No	
row_33	ALDH9A1	4256	1.273764729499817	-0.18054663	No	
row_34	GALK1	4344	1.2195651531219482	-0.18696794	No	
row_35	PYGL	4378	1.1951276063919067	-0.18891369	No	
row_36	CITED2	4610	1.063248634338379	-0.20756134	No	
row_37	GPC4	4636	1.0539559125900269	-0.2090191	No	
row_38	IGFBP3	4688	1.0215338468551636	-0.212686	No	
row_39	PLOD1	4707	1.0121850967407227	-0.21360818	No	
row_40	B3GAT1	4832	0.9358072280883789	-0.22346574	No	
row_41	PAM	4916	0.8706527352333069	-0.22996652	No	
row_42	MERTK	4924	0.8665127158164978	-0.23012534	No	
row_43	NDST3	4936	0.8617180585861206	-0.23062286	No	
row_44	DDIT4	4972	0.8379960656166077	-0.23314725	No	
row_45	KDELR3	4988	0.8277224898338318	-0.23401134	No	
row_46	TFF3	5010	0.8141797780990601	-0.23538904	No	
row_47	IRS2	5021	0.807542622089386	-0.23585433	No	
row_48	HS2ST1	5071	0.77109295129776	-0.23960876	No	
row_49	EFNA3	5086	0.7623317837715149	-0.2404483	No	
row_50	CHST1	5187	0.7043841481208801	-0.24851704	No	
row_51	VCAN	5323	0.6079698801040649	-0.25958002	No	
row_52	COL5A1	5382	0.5647665858268738	-0.26424223	No	
row_53	IDUA	5470	0.510400116443634	-0.27135906	No	
row_54	XYLT2	5587	0.4331637918949127	-0.2809387	No	
row_55	NOL3	5631	0.40566781163215637	-0.28443593	No	
row_56	STC1	5661	0.38648873567581177	-0.28677276	No	
row_57	B4GALT4	5670	0.3815830647945404	-0.28735822	No	
row_58	SDC1	5785	0.32091638445854187	-0.29681888	No	
row_59	TGFBI	5817	0.30440983176231384	-0.29935485	No	
row_60	GPR87	5940	0.23250716924667358	-0.30951124	No	
row_61	GAL3ST1	5970	0.21263934671878815	-0.3119071	No	
row_62	MET	6008	0.19520877301692963	-0.31497502	No	
row_63	CHST12	6085	0.1518404185771942	-0.321308	No	
row_64	DCN	6246	0.060182176530361176	-0.33466598	No	
