NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	PROCR	250	4.8391523361206055	-4.479016E-4	No	
row_1	STAT2	3054	1.9962947368621826	-0.22901967	No	
row_2	SELL	4046	1.4083882570266724	-0.3093344	No	
row_3	CCRL2	4585	1.0736316442489624	-0.35287058	No	
row_4	TRIM5	4640	1.0515775680541992	-0.35638437	No	
row_5	IL7	5183	0.7064459919929504	-0.40081674	No	
row_6	LPAR6	5476	0.5077260732650757	-0.42476404	No	
row_7	TRAFD1	5892	0.2625223994255066	-0.45905593	No	
row_8	TRIM21	6554	-0.1299481838941574	-0.5137553	No	
row_9	TRIM25	7029	-0.44455841183662415	-0.5528196	No	
row_10	TMEM140	7033	-0.44637295603752136	-0.55289567	No	
row_11	DHX58	7135	-0.5162166953086853	-0.56102556	No	
row_12	TXNIP	7224	-0.5862002968788147	-0.5680126	No	
row_13	CSF1	7333	-0.6484055519104004	-0.5765888	No	
row_14	IRF2	7508	-0.7518430948257446	-0.59050286	No	
row_15	SLC25A28	7785	-0.9281718730926514	-0.61260384	No	
row_16	C1S	7957	-1.05152428150177	-0.62580234	No	
row_17	OGFR	8235	-1.2328250408172607	-0.6474169	No	
row_18	IL4R	8552	-1.462255835533142	-0.6717251	No	
row_19	CMTR1	8869	-1.6838337182998657	-0.6954306	No	
row_20	ELF1	8927	-1.7206499576568604	-0.69758904	No	
row_21	DDX60	8993	-1.7647721767425537	-0.7002768	No	
row_22	CNP	9154	-1.8680061101913452	-0.71050394	No	
row_23	SAMD9	9878	-2.4183907508850098	-0.7652935	No	
row_24	IFITM2	10068	-2.5688014030456543	-0.77523285	No	
row_25	IFIT2	10083	-2.5853095054626465	-0.77061313	No	
row_26	OASL	10210	-2.705430507659912	-0.7747147	No	
row_27	SP110	10376	-2.8531222343444824	-0.78133476	Yes	
row_28	TRIM14	10395	-2.87554931640625	-0.77567583	Yes	
row_29	IFI35	10537	-3.0131359100341797	-0.7794977	Yes	
row_30	GBP2	10563	-3.0377140045166016	-0.77358913	Yes	
row_31	IL15	10613	-3.09264874458313	-0.76937604	Yes	
row_32	TDRD7	10639	-3.1139326095581055	-0.7630621	Yes	
row_33	IFI44	10807	-3.303847551345825	-0.7674485	Yes	
row_34	OAS1	10811	-3.309340000152588	-0.75822836	Yes	
row_35	B2M	10818	-3.316424608230591	-0.749216	Yes	
row_36	RSAD2	10827	-3.325930118560791	-0.7403146	Yes	
row_37	GMPR	11015	-3.5758798122406006	-0.7447384	Yes	
row_38	ISG20	11030	-3.5987303256988525	-0.73470044	Yes	
row_39	EIF2AK2	11041	-3.6169989109039307	-0.7242174	Yes	
row_40	IFI44L	11067	-3.6429715156555176	-0.714813	Yes	
row_41	IFITM3	11096	-3.678730010986328	-0.7054305	Yes	
row_42	BST2	11109	-3.6962482929229736	-0.69461197	Yes	
row_43	PSMA3	11261	-3.9120259284973145	-0.6938798	Yes	
row_44	PLSCR1	11305	-3.980229616165161	-0.6837425	Yes	
row_45	HERC6	11405	-4.159040451049805	-0.67698234	Yes	
row_46	MX1	11424	-4.199563503265381	-0.66322464	Yes	
row_47	RIPK2	11542	-4.416907787322998	-0.6560425	Yes	
row_48	CASP8	11544	-4.417516708374023	-0.63925385	Yes	
row_49	CXCL11	11578	-4.48856258392334	-0.6245669	Yes	
row_50	LY6E	11589	-4.525272369384766	-0.60769016	Yes	
row_51	ADAR	11593	-4.530724048614502	-0.59019125	Yes	
row_52	IFIT3	11595	-4.531205177307129	-0.572523	Yes	
row_53	IRF9	11597	-4.539104461669922	-0.5547929	Yes	
row_54	PSMB9	11624	-4.593240261077881	-0.53870463	Yes	
row_55	CD74	11633	-4.630148887634277	-0.5208321	Yes	
row_56	PSMB8	11664	-4.7271552085876465	-0.5039959	Yes	
row_57	TRIM26	11673	-4.751302719116211	-0.48514077	Yes	
row_58	RNF31	11682	-4.764251232147217	-0.4661791	Yes	
row_59	HLA-C	11693	-4.798179626464844	-0.4471025	Yes	
row_60	LAMP3	11701	-4.8238325119018555	-0.42756414	Yes	
row_61	ISG15	11724	-4.886931419372559	-0.40873766	Yes	
row_62	IRF7	11727	-4.905174255371094	-0.38810125	Yes	
row_63	TAP1	11775	-5.089842319488525	-0.36959395	Yes	
row_64	IFIH1	11778	-5.111199855804443	-0.3471734	Yes	
row_65	IRF1	11781	-5.117375373840332	-0.32469827	Yes	
row_66	IFI27	11802	-5.230088710784912	-0.30270472	Yes	
row_67	USP18	11863	-5.502762794494629	-0.28149197	Yes	
row_68	LGALS3BP	11880	-5.625697612762451	-0.25545433	Yes	
row_69	PARP12	11895	-5.71337890625	-0.2283916	Yes	
row_70	UBE2L6	11923	-5.835385322570801	-0.20118675	Yes	
row_71	CXCL10	11926	-5.840217113494873	-0.17186376	Yes	
row_72	NMI	11999	-6.367187023162842	-0.14277333	Yes	
row_73	PSME1	12053	-7.0408477783203125	-0.10430108	Yes	
row_74	RTP4	12068	-7.246580600738525	-0.06005933	Yes	
row_75	CD47	12106	-8.820290565490723	0.0041386546	Yes	
