NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	DUSP2	3193	1.909067988395691	-0.2558609	No	
row_1	UTP20	3333	1.8374208211898804	-0.25999302	No	
row_2	SRM	5162	0.7206255197525024	-0.4098867	No	
row_3	NIP7	6504	-0.0951990857720375	-0.52065676	No	
row_4	RABEPK	7027	-0.4400179088115692	-0.5633614	No	
row_5	GRWD1	7128	-0.5117447376251221	-0.57105285	No	
row_6	TCOF1	7167	-0.5435865521430969	-0.5735489	No	
row_7	TMEM97	7168	-0.5446402430534363	-0.572903	No	
row_8	MAP3K6	7247	-0.5942237377166748	-0.5785782	No	
row_9	PPRC1	7266	-0.6063286662101746	-0.57926476	No	
row_10	PRMT3	7272	-0.6089016795158386	-0.5788705	No	
row_11	RRP12	7724	-0.8927751779556274	-0.6143953	No	
row_12	NOC4L	8044	-1.1091097593307495	-0.63807154	No	
row_13	CDK4	8216	-1.2196540832519531	-0.6489599	No	
row_14	MPHOSPH10	8405	-1.354881763458252	-0.66049457	No	
row_15	PHB	8639	-1.5145683288574219	-0.67474926	No	
row_16	MYC	8678	-1.5371448993682861	-0.67274356	No	
row_17	WDR43	8748	-1.5826386213302612	-0.67298996	No	
row_18	HK2	8778	-1.6134133338928223	-0.66971743	No	
row_19	RRP9	9210	-1.9142115116119385	-0.69734645	No	
row_20	LAS1L	9236	-1.9296361207962036	-0.6913038	No	
row_21	MCM5	9501	-2.1158196926116943	-0.7033665	Yes	
row_22	PLK1	9561	-2.1639931201934814	-0.6980437	Yes	
row_23	PA2G4	9645	-2.2379910945892334	-0.6939944	Yes	
row_24	EXOSC5	9704	-2.2893567085266113	-0.6873733	Yes	
row_25	SLC19A1	9802	-2.362687110900879	-0.6832314	Yes	
row_26	DDX18	9815	-2.37129807472229	-0.6719783	Yes	
row_27	BYSL	9847	-2.3924906253814697	-0.6620751	Yes	
row_28	MRTO4	9943	-2.468646287918091	-0.6566532	Yes	
row_29	PUS1	9973	-2.493069887161255	-0.6455147	Yes	
row_30	FARSA	10128	-2.6310791969299316	-0.6431635	Yes	
row_31	CBX3	10293	-2.7786121368408203	-0.6399005	Yes	
row_32	PES1	10420	-2.906212091445923	-0.6319185	Yes	
row_33	AIMP2	10606	-3.0856387615203857	-0.6264698	Yes	
row_34	TFB2M	10667	-3.142338514328003	-0.609925	Yes	
row_35	NDUFAF4	10717	-3.203521966934204	-0.5916259	Yes	
row_36	UNG	10728	-3.209630012512207	-0.5700195	Yes	
row_37	MCM4	10756	-3.246985912322998	-0.5492923	Yes	
row_38	PLK4	10761	-3.2518975734710693	-0.5265955	Yes	
row_39	TBRG4	10825	-3.3223719596862793	-0.50776416	Yes	
row_40	NOP56	10853	-3.3584485054016113	-0.4854338	Yes	
row_41	NOP16	10932	-3.45563006401062	-0.46587488	Yes	
row_42	GNL3	10982	-3.5114712715148926	-0.44307292	Yes	
row_43	NOLC1	11002	-3.5597167015075684	-0.41704953	Yes	
row_44	SUPV3L1	11024	-3.586564540863037	-0.3907736	Yes	
row_45	DCTPP1	11250	-3.8937766551971436	-0.37634745	Yes	
row_46	WDR74	11411	-4.174598693847656	-0.35161734	Yes	
row_47	NOP2	11455	-4.262779235839844	-0.31560084	Yes	
row_48	IMP4	11569	-4.469583511352539	-0.28143513	Yes	
row_49	MYBBP1A	11572	-4.475337982177734	-0.23798682	Yes	
row_50	IPO4	11805	-5.247658729553223	-0.19718862	Yes	
row_51	SORD	11996	-6.32895565032959	-0.12566236	Yes	
row_52	SLC29A2	12093	-7.983762264251709	0.005204918	Yes	
