NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	FGF2	13	7.526030540466309	0.033815295	Yes	
row_1	FHL1	51	6.4357523918151855	0.056245312	Yes	
row_2	CACNA1H	125	5.424734115600586	0.06827824	Yes	
row_3	PYGM	131	5.399046897888184	0.085822135	Yes	
row_4	MRAS	135	5.389754772186279	0.10347139	Yes	
row_5	PKIA	148	5.322089195251465	0.119921945	Yes	
row_6	SOD3	164	5.247213363647461	0.13563417	Yes	
row_7	ITGA7	173	5.219058513641357	0.15174976	Yes	
row_8	SGCA	176	5.215868949890137	0.16834621	Yes	
row_9	ACTC1	224	5.035841941833496	0.18004511	Yes	
row_10	ACTN2	335	4.539122104644775	0.18354888	Yes	
row_11	HRC	373	4.431480407714844	0.19255777	Yes	
row_12	DMD	386	4.411141395568848	0.20354491	Yes	
row_13	PGAM2	411	4.343271732330322	0.21316318	Yes	
row_14	REEP1	499	4.165522575378418	0.21658503	Yes	
row_15	CSRP3	512	4.1248250007629395	0.22606622	Yes	
row_16	SMTN	513	4.122668266296387	0.2365392	Yes	
row_17	PPP1R3C	553	4.054598331451416	0.24341023	Yes	
row_18	FXYD1	570	4.0230584144592285	0.25204623	Yes	
row_19	CD36	573	4.017682075500488	0.26182547	Yes	
row_20	HBEGF	650	3.9093074798583984	0.26489168	Yes	
row_21	MAPK12	662	3.894252061843872	0.27331713	Yes	
row_22	DTNA	679	3.8744895458221436	0.28123012	Yes	
row_23	DES	681	3.8730056285858154	0.2903895	Yes	
row_24	MYL4	732	3.794015407562256	0.2950811	Yes	
row_25	MYL1	781	3.7227354049682617	0.2996097	Yes	
row_26	ACTN3	803	3.6812870502471924	0.30620536	Yes	
row_27	MYL7	814	3.6628949642181396	0.31363702	Yes	
row_28	ACHE	935	3.5322377681732178	0.31129745	Yes	
row_29	SH3BGR	947	3.519440174102783	0.31801063	Yes	
row_30	MEF2C	963	3.5054845809936523	0.32432917	Yes	
row_31	SORBS3	965	3.5049753189086914	0.3318154	Yes	
row_32	MYBPC3	967	3.501701593399048	0.3392875	Yes	
row_33	CASQ2	969	3.498241901397705	0.34674466	Yes	
row_34	DMPK	971	3.49723219871521	0.35419747	Yes	
row_35	MYLK	1093	3.3810322284698486	0.35113022	Yes	
row_36	EFS	1159	3.3088927268981934	0.35244513	Yes	
row_37	APOD	1166	3.303750514984131	0.35866928	Yes	
row_38	PTGIS	1177	3.2965433597564697	0.3645299	Yes	
row_39	MYH4	1230	3.258791923522949	0.36672837	Yes	
row_40	CAV3	1251	3.239469528198242	0.3715235	Yes	
row_41	GNAO1	1272	3.2140402793884277	0.37621748	Yes	
row_42	SLN	1310	3.166236162185669	0.37930298	Yes	
row_43	MYOM2	1345	3.1391525268554688	0.3825339	Yes	
row_44	COL15A1	1424	3.067347526550293	0.38181347	Yes	
row_45	LAMA2	1437	3.056867837905884	0.38656867	Yes	
row_46	MYH11	1510	2.996880531311035	0.3860863	Yes	
row_47	TNNC2	1533	2.983208417892456	0.38973168	Yes	
row_48	MYF6	1557	2.969947099685669	0.39324486	Yes	
row_49	SGCD	1559	2.9683985710144043	0.39859077	Yes	
row_50	CASQ1	1662	2.890533924102783	0.39521572	Yes	
row_51	LDB3	1674	2.8841545581817627	0.3994222	Yes	
row_52	MEF2D	1746	2.8297014236450195	0.39842317	No	
row_53	MYOM1	1822	2.793854236602783	0.39696565	No	
row_54	TNNT3	1917	2.7186336517333984	0.39366496	No	
row_55	MYH8	1982	2.675092935562134	0.39272645	No	
row_56	GJA5	2032	2.6400179862976074	0.39292648	No	
row_57	CDKN1A	2058	2.618165969848633	0.39506125	No	
row_58	NCAM1	2129	2.558316946029663	0.39324477	No	
row_59	MYH1	2173	2.531100034713745	0.39359915	No	
row_60	COX7A1	2226	2.4946892261505127	0.3930887	No	
row_61	TCAP	2340	2.4208004474639893	0.3872571	No	
row_62	HSPB8	2374	2.401517868041992	0.38805327	No	
row_63	PFKM	2379	2.3996753692626953	0.3912673	No	
row_64	APLNR	2405	2.3869497776031494	0.39268896	No	
row_65	MYH3	2514	2.319883346557617	0.38698038	No	
row_66	PVALB	2668	2.228915214538574	0.37725648	No	
row_67	PDLIM7	2702	2.208820104598999	0.3775052	No	
row_68	ADAM12	2740	2.191835880279541	0.37737364	No	
row_69	MYL2	2772	2.16630220413208	0.37767488	No	
row_70	CHRNB1	2795	2.152996778488159	0.37869278	No	
row_71	SPEG	2837	2.129634380340576	0.3780613	No	
row_72	ACTA1	2917	2.0874440670013428	0.37414482	No	
row_73	SPHK1	2949	2.061725378036499	0.3741736	No	
row_74	SIRT2	3064	1.987931489944458	0.3670825	No	
row_75	MYOZ1	3116	1.9492135047912598	0.36516196	No	
row_76	MYL3	3281	1.8651920557022095	0.35360128	No	
row_77	COX6A2	3302	1.849757432937622	0.35403836	No	
row_78	AK1	3351	1.8265317678451538	0.3520831	No	
row_79	MYBPH	3357	1.821850061416626	0.35371047	No	
row_80	SORBS1	3364	1.818100094795227	0.3552459	No	
row_81	TGFB1	3368	1.8169087171554565	0.35702935	No	
row_82	FABP3	3457	1.7747020721435547	0.35161653	No	
row_83	IGF1	3475	1.765448808670044	0.3521165	No	
row_84	KCNH1	3726	1.6191374063491821	0.3328411	No	
row_85	AEBP1	3733	1.6141725778579712	0.33394524	No	
row_86	CKM	3741	1.612277865409851	0.33496204	No	
row_87	PC	3772	1.593183159828186	0.33401918	No	
row_88	MYH7	3816	1.564772605895996	0.33193472	No	
row_89	MYH2	3882	1.518290400505066	0.32792354	No	
row_90	CRAT	3952	1.477571725845337	0.32350296	No	
row_91	TPM3	3980	1.4536703824996948	0.32254887	No	
row_92	HDAC5	4059	1.4026473760604858	0.31724325	No	
row_93	TNNI2	4067	1.395809531211853	0.31785882	No	
row_94	CTF1	4100	1.3738925457000732	0.3163479	No	
row_95	CACNG1	4205	1.3129675388336182	0.30871958	No	
row_96	CHRNG	4233	1.2929474115371704	0.30749345	No	
row_97	MYOG	4294	1.2508207559585571	0.30344373	No	
row_98	CFD	4308	1.2370784282684326	0.3033004	No	
row_99	NOTCH1	4309	1.2369593381881714	0.3042432	No	
row_100	BDKRB2	4367	1.1994940042495728	0.30036667	No	
row_101	MEF2A	4427	1.1686935424804688	0.29627806	No	
row_102	ATP2A1	4518	1.1130765676498413	0.2895208	No	
row_103	RIT1	4534	1.1037501096725464	0.28901803	No	
row_104	IGFBP3	4688	1.0215338468551636	0.27687588	No	
row_105	MAPRE3	4760	0.9806390404701233	0.27153546	No	
row_106	ADCY9	4791	0.9626254439353943	0.26959956	No	
row_107	MYO1C	4879	0.903810977935791	0.2628329	No	
row_108	SLC6A8	4990	0.8274633884429932	0.2540629	No	
row_109	KCNH2	4991	0.8274431824684143	0.25448477	No	
row_110	KIFC3	5019	0.8087765574455261	0.2526316	No	
row_111	GADD45B	5158	0.7236264944076538	0.24142256	No	
row_112	TPM2	5177	0.7110655903816223	0.24022998	No	
row_113	SSPN	5181	0.7077710032463074	0.24028796	No	
row_114	TNNI1	5272	0.6475234031677246	0.23302564	No	
row_115	NOS1	5363	0.5822398066520691	0.22571385	No	
row_116	CKB	5367	0.5793169140815735	0.22566995	No	
row_117	CNN3	5440	0.5275335907936096	0.2198249	No	
row_118	BIN1	5563	0.45422738790512085	0.20975733	No	
row_119	EPHB3	5575	0.44221702218055725	0.20895863	No	
row_120	CRYAB	5602	0.4222637712955475	0.20689586	No	
row_121	SPARC	5626	0.41071009635925293	0.20507784	No	
