NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	MAOB	435	4.282378673553467	-0.027490705	No	
row_1	PDK4	2092	2.5895533561706543	-0.1623814	No	
row_2	RHOT1	2113	2.5724174976348877	-0.1608788	No	
row_3	SLC25A20	2156	2.5425851345062256	-0.16128404	No	
row_4	ETFDH	2401	2.389005661010742	-0.17889813	No	
row_5	MTRF1	3797	1.575566053390503	-0.294046	No	
row_6	NDUFS4	5431	0.5330386161804199	-0.43009534	No	
row_7	PHYH	6096	0.14511950314044952	-0.48546013	No	
row_8	OPA1	6231	0.07105439901351929	-0.49663275	No	
row_9	HTRA2	6450	-0.06496027857065201	-0.51481104	No	
row_10	ACAA2	6845	-0.324659138917923	-0.5476185	No	
row_11	OGDH	6890	-0.3515249192714691	-0.5512287	No	
row_12	FXN	6902	-0.35674968361854553	-0.5520851	No	
row_13	MGST3	7021	-0.43691927194595337	-0.56183434	No	
row_14	NQO2	7050	-0.4579416513442993	-0.564069	No	
row_15	CYB5R3	7109	-0.4969494044780731	-0.5687876	No	
row_16	RETSAT	7244	-0.5933990478515625	-0.57979393	No	
row_17	ISCU	7282	-0.61256343126297	-0.5826998	No	
row_18	HADHA	7381	-0.6775543689727783	-0.59065264	No	
row_19	ALDH6A1	7402	-0.6890525817871094	-0.59209305	No	
row_20	TIMM50	7414	-0.697351336479187	-0.59277743	No	
row_21	SUCLA2	7486	-0.7439804077148438	-0.5984334	No	
row_22	COX11	7614	-0.8160616755485535	-0.6087055	No	
row_23	DLST	7669	-0.8528473377227783	-0.61286044	No	
row_24	TIMM9	7685	-0.8649314641952515	-0.61375296	No	
row_25	ECH1	7791	-0.9376235008239746	-0.6220883	No	
row_26	COX15	7927	-1.022085189819336	-0.63284624	No	
row_27	ACAT1	7942	-1.0395194292068481	-0.63349605	No	
row_28	ABCB7	8083	-1.1425365209579468	-0.64454603	No	
row_29	OAT	8096	-1.1505473852157593	-0.64491254	No	
row_30	IDH3A	8184	-1.1971077919006348	-0.65148133	No	
row_31	ACADSB	8197	-1.2049411535263062	-0.65178645	No	
row_32	BAX	8199	-1.2072536945343018	-0.65117157	No	
row_33	SLC25A4	8233	-1.2319884300231934	-0.6531964	No	
row_34	COX10	8349	-1.3046438694000244	-0.66197145	No	
row_35	MRPS11	8370	-1.3293964862823486	-0.6627926	No	
row_36	ACADM	8410	-1.361567735671997	-0.6651568	No	
row_37	ETFB	8677	-1.5371148586273193	-0.68620807	No	
row_38	ATP1B1	8694	-1.5496490001678467	-0.68639183	No	
row_39	CPT1A	8700	-1.5545339584350586	-0.685651	No	
row_40	TOMM22	8715	-1.564036250114441	-0.68564653	No	
row_41	ATP6V1E1	8739	-1.5766682624816895	-0.6863736	No	
row_42	NNT	8916	-1.7117749452590942	-0.6996473	No	
row_43	PDP1	8949	-1.7359662055969238	-0.7008721	No	
row_44	NDUFS7	8968	-1.7466237545013428	-0.7009116	No	
row_45	POLR2F	9036	-1.7984271049499512	-0.7049495	No	
row_46	MPC1	9125	-1.8525254726409912	-0.71064407	No	
row_47	TCIRG1	9242	-1.9330523014068604	-0.7185276	No	
row_48	NDUFA4	9285	-1.9611053466796875	-0.7201876	No	
row_49	BCKDHA	9375	-2.022874593734741	-0.72564924	No	
row_50	GOT2	9376	-2.0237207412719727	-0.72368705	No	
row_51	COX7A2L	9417	-2.051366090774536	-0.7250067	No	
row_52	NDUFB8	9438	-2.0674593448638916	-0.72462666	No	
row_53	ATP6V1D	9439	-2.067669630050659	-0.7225783	No	
row_54	ATP6V1G1	9571	-2.1701231002807617	-0.73124677	No	
row_55	HCCS	9669	-2.257845878601074	-0.73689365	No	
row_56	VDAC3	9726	-2.3086650371551514	-0.7390101	No	
row_57	CASP7	9755	-2.331075668334961	-0.7387417	No	
row_58	DECR1	9784	-2.3485982418060303	-0.738434	No	
row_59	SLC25A3	9801	-2.3612303733825684	-0.737097	No	
row_60	UQCRH	9819	-2.373528242111206	-0.7358156	No	
row_61	RHOT2	9832	-2.3809924125671387	-0.7341001	No	
row_62	SLC25A12	9890	-2.4276397228240967	-0.73603	No	
row_63	OXA1L	9987	-2.505863904953003	-0.7410274	No	
row_64	CYB5A	10040	-2.536480188369751	-0.7422815	No	
row_65	HADHB	10054	-2.5555243492126465	-0.74023664	No	
row_66	HSD17B10	10098	-2.5959348678588867	-0.7405939	No	
row_67	TIMM17A	10166	-2.6569859981536865	-0.74279904	Yes	
row_68	MRPL34	10189	-2.6867661476135254	-0.7411751	Yes	
row_69	IDH3G	10218	-2.713261127471924	-0.73998296	Yes	
row_70	MFN2	10266	-2.753385066986084	-0.7402703	Yes	
row_71	ATP6V1H	10271	-2.757524251937866	-0.73696065	Yes	
row_72	SURF1	10352	-2.8282480239868164	-0.73979986	Yes	
row_73	ETFA	10357	-2.834210157394409	-0.7362848	Yes	
row_74	PDHX	10446	-2.9262070655822754	-0.739521	Yes	
row_75	NDUFA6	10451	-2.9291043281555176	-0.73574394	Yes	
row_76	ATP6V0E1	10529	-3.007678270339966	-0.73783123	Yes	
row_77	NDUFB1	10636	-3.1127967834472656	-0.7420287	Yes	
row_78	SLC25A6	10658	-3.131962776184082	-0.73908025	Yes	
row_79	PMPCA	10710	-3.1934783458709717	-0.7384472	Yes	
row_80	IDH1	10727	-3.2087411880493164	-0.7348485	Yes	
row_81	MRPS22	10730	-3.210214376449585	-0.7300777	Yes	
row_82	ATP6V1F	10731	-3.2104170322418213	-0.7251395	Yes	
row_83	UQCR11	10812	-3.309633493423462	-0.72656304	Yes	
row_84	IDH3B	10816	-3.314521551132202	-0.7215496	Yes	
row_85	MDH1	10822	-3.321617841720581	-0.7166803	Yes	
row_86	NDUFC1	10833	-3.33357834815979	-0.7121899	Yes	
row_87	SDHC	10837	-3.3381872177124023	-0.707101	Yes	
row_88	NDUFA7	10854	-3.3599822521209717	-0.7030263	Yes	
row_89	NDUFB7	10855	-3.360473155975342	-0.6976157	Yes	
row_90	GPX4	10871	-3.3731791973114014	-0.69341505	Yes	
row_91	NDUFS1	10881	-3.3804826736450195	-0.68869036	Yes	
row_92	NDUFS2	10947	-3.469637155532837	-0.6883432	Yes	
row_93	NDUFB5	10951	-3.471376895904541	-0.6828198	Yes	
row_94	COX4I1	10959	-3.47664737701416	-0.67761236	Yes	
row_95	PRDX3	10970	-3.489955186843872	-0.6726107	Yes	
row_96	NDUFA3	10977	-3.500610828399658	-0.6672398	Yes	
row_97	ALAS1	10981	-3.5100865364074707	-0.6615869	Yes	
row_98	NDUFA2	10988	-3.525379180908203	-0.6561326	Yes	
row_99	SLC25A11	11006	-3.566364288330078	-0.65145636	Yes	
row_100	SUPV3L1	11024	-3.586564540863037	-0.64671093	Yes	
row_101	CS	11039	-3.6099061965942383	-0.6416349	Yes	
row_102	ACADVL	11070	-3.65020489692688	-0.6377529	Yes	
row_103	NDUFB4	11076	-3.65403413772583	-0.6317727	Yes	
row_104	IMMT	11082	-3.660339832305908	-0.62577033	Yes	
row_105	DLD	11130	-3.722039222717285	-0.6230524	Yes	
row_106	NDUFB6	11163	-3.772242546081543	-0.6189032	Yes	
row_107	MRPS15	11183	-3.804046392440796	-0.61355454	Yes	
row_108	SDHB	11248	-3.891932487487793	-0.6116345	Yes	
row_109	PDHB	11249	-3.892348051071167	-0.60437566	Yes	
row_110	GRPEL1	11266	-3.918001890182495	-0.5983551	Yes	
row_111	MRPL11	11278	-3.9348812103271484	-0.5918541	Yes	
row_112	PDHA1	11323	-4.008830547332764	-0.5878237	Yes	
row_113	NDUFAB1	11333	-4.0243401527404785	-0.5808147	Yes	
row_114	UQCRC2	11334	-4.024582386016846	-0.57305425	Yes	
row_115	PHB2	11340	-4.0370707511901855	-0.5656625	Yes	
row_116	VDAC1	11384	-4.110544204711914	-0.561153	Yes	
row_117	HSPA9	11388	-4.113117218017578	-0.5532976	Yes	
row_118	NDUFS6	11400	-4.1479105949401855	-0.5459715	Yes	
row_119	VDAC2	11402	-4.1522698402404785	-0.53779423	Yes	
row_120	ATP6V1C1	11413	-4.180525779724121	-0.53025466	Yes	
row_121	NDUFB2	11437	-4.227380752563477	-0.52361053	Yes	
row_122	UQCRB	11469	-4.283956527709961	-0.5174028	Yes	
row_123	ATP6V0B	11471	-4.289335250854492	-0.5086711	Yes	
row_124	AFG3L2	11489	-4.312229156494141	-0.50117946	Yes	
row_125	MRPL35	11512	-4.348655700683594	-0.49395356	Yes	
row_126	COX7A2	11556	-4.444927215576172	-0.4880734	Yes	
row_127	UQCRQ	11566	-4.461130619049072	-0.47928864	Yes	
row_128	ATP6AP1	11567	-4.46171760559082	-0.4697508	Yes	
row_129	NDUFA5	11574	-4.478357315063477	-0.46064204	Yes	
row_130	MTX2	11579	-4.489580154418945	-0.4513183	Yes	
row_131	ACAA1	11582	-4.5034589767456055	-0.44176796	Yes	
row_132	FH	11586	-4.510560989379883	-0.43227032	Yes	
row_133	SUCLG1	11621	-4.5843825340271	-0.42503628	Yes	
row_134	ECHS1	11632	-4.624232292175293	-0.41562495	Yes	
row_135	NDUFB3	11647	-4.676519870758057	-0.40631416	Yes	
row_136	NDUFS8	11648	-4.68226432800293	-0.3958101	Yes	
row_137	NDUFA8	11661	-4.717833995819092	-0.38614658	Yes	
row_138	COX6B1	11666	-4.736112594604492	-0.37573308	Yes	
row_139	UQCR10	11679	-4.762475490570068	-0.36586678	Yes	
row_140	MRPS30	11690	-4.785626411437988	-0.3557278	Yes	
row_141	TIMM10	11691	-4.792608737945557	-0.3447228	Yes	
