NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	TSPYL2	137	5.376107215881348	0.008432533	No	
row_1	SESN1	226	5.0150837898254395	0.018377027	No	
row_2	PROCR	250	4.8391523361206055	0.032556653	No	
row_3	ZMAT3	561	4.042012691497803	0.017906351	No	
row_4	BMP2	574	4.016334533691406	0.027994808	No	
row_5	HMOX1	604	3.9737117290496826	0.036429737	No	
row_6	HBEGF	650	3.9093074798583984	0.043179717	No	
row_7	MDM2	823	3.6503050327301025	0.0379799	No	
row_8	MXD1	891	3.5696771144866943	0.041146662	No	
row_9	HSPA4L	922	3.540989875793457	0.04726243	No	
row_10	TNFSF9	1023	3.4459950923919678	0.047077335	No	
row_11	CCNK	1244	3.2511863708496094	0.03597605	No	
row_12	SLC19A2	1415	3.0797369480133057	0.028303172	No	
row_13	TCHH	1422	3.0692362785339355	0.034278814	No	
row_14	ZNF365	1453	3.0449228286743164	0.03814841	No	
row_15	F2R	1565	2.963035821914673	0.034916803	No	
row_16	FGF13	1750	2.827550172805786	0.02505079	No	
row_17	CCND2	1778	2.8128204345703125	0.028236113	No	
row_18	PTPRE	1897	2.731081247329712	0.023511989	No	
row_19	CSRNP2	1998	2.663062810897827	0.020038493	No	
row_20	XPC	2055	2.62104868888855	0.020086069	No	
row_21	CDKN1A	2058	2.618165969848633	0.024631903	No	
row_22	PPM1D	2167	2.5352272987365723	0.020033583	No	
row_23	CCP110	2265	2.4710803031921387	0.016132899	No	
row_24	KLF4	2290	2.4521727561950684	0.018263232	No	
row_25	PPP1R15A	2308	2.4418365955352783	0.020943241	No	
row_26	PITPNC1	2313	2.4378862380981445	0.02469541	No	
row_27	NHLH2	2389	2.39438533782959	0.022375027	No	
row_28	ZBTB16	2411	2.382887601852417	0.024525521	No	
row_29	SLC35D1	2722	2.199582576751709	0.0019689228	No	
row_30	PVT1	2813	2.141230344772339	-0.0023932827	No	
row_31	RRAD	2819	2.1370275020599365	3.2908516E-4	No	
row_32	TCN2	2848	2.124185562133789	0.0010934828	No	
row_33	OSGIN1	2876	2.109581470489502	0.0018988645	No	
row_34	APAF1	2889	2.102414846420288	0.0039358935	No	
row_35	PMM1	2896	2.0955111980438232	0.006453957	No	
row_36	SPHK1	2949	2.061725378036499	0.0050347596	No	
