NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	SLC2A2	460	4.23489236831665	0.02861906	Yes	
row_1	AKT3	585	3.9995005130767822	0.07776971	Yes	
row_2	ISL1	624	3.951071262359619	0.13258782	Yes	
row_3	NKX6-1	702	3.840237855911255	0.1809818	Yes	
row_4	ABCC8	874	3.5916075706481934	0.21475905	Yes	
row_5	G6PC2	956	3.511291027069092	0.25384542	Yes	
row_6	GCG	1022	3.447294235229492	0.2925989	Yes	
row_7	PAK3	1050	3.423248767852783	0.3338749	Yes	
row_8	DCX	1140	3.3363184928894043	0.36785313	Yes	
row_9	NKX2-2	1197	3.283017873764038	0.4032448	Yes	
row_10	PCSK2	1369	3.1169776916503906	0.42520142	Yes	
row_11	INSM1	1542	2.9780285358428955	0.44393155	Yes	
row_12	PKLR	1736	2.8377182483673096	0.45789936	Yes	
row_13	GCK	1784	2.810053825378418	0.48333535	Yes	
row_14	SCGN	1790	2.8074753284454346	0.5121835	Yes	
row_15	PAX6	1797	2.8048112392425537	0.54089355	Yes	
row_16	STXBP1	1829	2.7898430824279785	0.56722975	Yes	
row_17	PDX1	1863	2.759726047515869	0.59278035	Yes	
row_18	NEUROD1	1887	2.742680072784424	0.61880803	Yes	
row_19	DPP4	2148	2.546449899673462	0.621425	Yes	
row_20	NEUROG3	2210	2.5048651695251465	0.63968396	Yes	
row_21	PAX4	2683	2.2185544967651367	0.619006	No	
row_22	INS	3100	1.9588109254837036	0.59892106	No	
row_23	IAPP	3210	1.8990981578826904	0.6033152	No	
row_24	HNF1A	3716	1.6246062517166138	0.5714399	No	
row_25	PCSK1	3810	1.5696901082992554	0.57291245	No	
row_26	ELP4	4763	0.9789051413536072	0.49790904	No	
row_27	CHGA	4858	0.9150283336639404	0.49326026	No	
row_28	SYT13	5333	0.6059086322784424	0.4555078	No	
row_29	FOXO1	5383	0.5644241571426392	0.4526469	No	
row_30	FOXA2	5993	0.20319488644599915	0.40254438	No	
row_31	LMO2	6072	0.16105028986930847	0.39620396	No	
row_32	SRPRB	6116	0.13294579088687897	0.39272115	No	
row_33	MAFB	6332	0.008728439919650555	0.37497923	No	
row_34	VDR	8504	-1.4309393167495728	0.20342569	No	
row_35	SRP14	8601	-1.493726372718811	0.20378673	No	
row_36	SEC11A	9180	-1.8931145668029785	0.16939385	No	
row_37	SPCS1	10702	-3.186577320098877	0.0815747	No	
row_38	SST	10734	-3.213222026824951	0.11734617	No	
