NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	DST	532	4.082977294921875	-0.016719721	No	
row_1	VAMP4	1532	2.9845144748687744	-0.08490442	No	
row_2	CAV2	2117	2.570716619491577	-0.122462146	No	
row_3	GOSR2	2414	2.381744146347046	-0.13768242	No	
row_4	MON2	3153	1.9280612468719482	-0.19275527	No	
row_5	STX12	3482	1.7606866359710693	-0.21485399	No	
row_6	RPS6KA3	3568	1.6986284255981445	-0.21716109	No	
row_7	GBF1	3955	1.473585605621338	-0.24559309	No	
row_8	AP3B1	4017	1.4256516695022583	-0.24731147	No	
row_9	SEC24D	4037	1.4133532047271729	-0.24560547	No	
row_10	YKT6	4280	1.2557992935180664	-0.2630765	No	
row_11	GALC	4672	1.0286890268325806	-0.29375154	No	
row_12	PAM	4916	0.8706527352333069	-0.31265068	No	
row_13	IGF2R	5063	0.7783451676368713	-0.32375875	No	
row_14	TSPAN8	5076	0.767694354057312	-0.32378548	No	
row_15	SH3GL2	5163	0.7204225063323975	-0.33006224	No	
row_16	SSPN	5181	0.7077710032463074	-0.3306487	No	
row_17	RAB22A	5391	0.5605322122573853	-0.34745833	No	
row_18	AP1G1	5560	0.4570673108100891	-0.36104208	No	
row_19	ARFGAP3	5562	0.4544101059436798	-0.3607858	No	
row_20	AP2B1	5693	0.3704439699649811	-0.37133718	No	
row_21	OCRL	5764	0.33489641547203064	-0.3769558	No	
row_22	STAM	5796	0.3181820213794708	-0.37935936	No	
row_23	LMAN1	5938	0.23306235671043396	-0.3909588	No	
row_24	SNX2	6066	0.1638195514678955	-0.40144277	No	
row_25	SEC22B	6149	0.1192518025636673	-0.40821704	No	
row_26	AP3S1	6271	0.04583452269434929	-0.41824427	No	
row_27	ABCA1	6373	-0.020191306248307228	-0.4266163	No	
row_28	SEC31A	6779	-0.2809874713420868	-0.46006036	No	
row_29	SNAP23	6807	-0.29878878593444824	-0.46215197	No	
row_30	SCRN1	6823	-0.3093380928039551	-0.46323827	No	
row_31	VAMP7	6895	-0.35340023040771484	-0.46891892	No	
row_32	EGFR	7026	-0.4396141767501831	-0.47937822	No	
row_33	MAPK1	7117	-0.5030761957168579	-0.48642337	No	
row_34	SCAMP1	7331	-0.6467104554176331	-0.5033937	No	
row_35	GLA	7382	-0.6776761412620544	-0.50678426	No	
row_36	COG2	7484	-0.7431218028068542	-0.5142499	No	
row_37	CLCN3	7498	-0.7477414608001709	-0.51440924	No	
row_38	CTSC	7663	-0.8499033451080322	-0.5268181	No	
row_39	VAMP3	7897	-1.0065100193023682	-0.54446936	No	
row_40	CLN5	7915	-1.0169577598571777	-0.5441799	No	
row_41	STX7	7948	-1.0450834035873413	-0.5450387	No	
row_42	LAMP2	8136	-1.1695901155471802	-0.55829376	No	
row_43	BET1	8254	-1.2425624132156372	-0.56545687	No	
row_44	COPB1	8297	-1.270742416381836	-0.56628627	No	
row_45	VPS45	8305	-1.2756422758102417	-0.5641937	No	
row_46	CD63	8401	-1.3504557609558105	-0.5690735	No	
row_47	ZW10	8472	-1.409101128578186	-0.57161504	No	
row_48	RAB14	8607	-1.4959068298339844	-0.57904786	No	
row_49	STX16	8894	-1.6976795196533203	-0.59802276	No	
row_50	CLTC	8926	-1.7205005884170532	-0.5957305	No	
row_51	PPT1	9093	-1.831591010093689	-0.6039814	No	
row_52	USO1	9195	-1.9007740020751953	-0.60641974	Yes	
row_53	TSG101	9247	-1.935335397720337	-0.6044954	Yes	
row_54	AP2S1	9281	-1.958177089691162	-0.60093284	Yes	
row_55	NAPA	9413	-2.047970771789551	-0.60490346	Yes	
row_56	ARCN1	9426	-2.059501886367798	-0.5989314	Yes	
row_57	GOLGA4	9472	-2.093195915222168	-0.59546506	Yes	
row_58	BNIP3	9479	-2.099473714828491	-0.5887226	Yes	
row_59	SOD1	9770	-2.3404524326324463	-0.6037657	Yes	
row_60	CLTA	9868	-2.4083449840545654	-0.60227996	Yes	
row_61	SCAMP3	9872	-2.411536455154419	-0.59297657	Yes	
row_62	ANP32E	9879	-2.4190444946289062	-0.58386225	Yes	
row_63	GNAS	9935	-2.4627037048339844	-0.57845986	Yes	
row_64	COPE	10033	-2.531637191772461	-0.5759737	Yes	
row_65	YIPF6	10043	-2.539736032485962	-0.5661251	Yes	
row_66	AP2M1	10076	-2.578700542449951	-0.5578555	Yes	
row_67	DNM1L	10114	-2.611915349960327	-0.54971725	Yes	
row_68	TMED10	10137	-2.635930299758911	-0.5401285	Yes	
row_69	TMX1	10212	-2.7074012756347656	-0.5342232	Yes	
row_70	ARFIP1	10213	-2.7078447341918945	-0.52217954	Yes	
row_71	ATP6V1H	10271	-2.757524251937866	-0.514415	Yes	
row_72	RAB5A	10424	-2.90753173828125	-0.51313007	Yes	
row_73	RAB2A	10465	-2.942432403564453	-0.50222516	Yes	
row_74	RAB9A	10485	-2.9659647941589355	-0.48935097	Yes	
row_75	VPS4B	10546	-3.0210013389587402	-0.4793344	Yes	
row_76	ARF1	10607	-3.086226463317871	-0.46866357	Yes	
row_77	NAPG	10777	-3.2733700275421143	-0.46507376	Yes	
row_78	SGMS1	10803	-3.2998688220977783	-0.44926053	Yes	
row_79	ARFGEF2	10828	-3.325960397720337	-0.43308043	Yes	
row_80	ADAM10	10863	-3.3640682697296143	-0.41731057	Yes	
row_81	COPB2	10884	-3.386192560195923	-0.40013483	Yes	
row_82	M6PR	10928	-3.4459662437438965	-0.38419494	Yes	
row_83	ERGIC3	10945	-3.467487096786499	-0.36577246	Yes	
row_84	TMED2	11068	-3.648247718811035	-0.35402447	Yes	
row_85	ICA1	11280	-3.9367382526397705	-0.34606025	Yes	
row_86	ATP1A1	11297	-3.9720726013183594	-0.32147187	Yes	
row_87	KIF1B	11345	-4.050782680511475	-0.2984161	Yes	
row_88	TOM1L1	11659	-4.716068744659424	-0.2878313	Yes	
row_89	ATP6V1B1	11706	-4.842128753662109	-0.25313357	Yes	
