NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	MPO	2231	2.49187970161438	-0.1588959	No	
row_1	GLRX	2569	2.292203903198242	-0.16533148	No	
row_2	ERCC2	2920	2.0853824615478516	-0.1765249	No	
row_3	HHEX	3807	1.570360779762268	-0.23962721	No	
row_4	FES	4724	1.0023590326309204	-0.31115317	No	
row_5	MSRA	4882	0.8994108438491821	-0.3208212	No	
row_6	IPCEF1	5068	0.7758487462997437	-0.333643	No	
row_7	SCAF4	5709	0.36373773217201233	-0.385936	No	
row_8	LSP1	6053	0.17344002425670624	-0.41412792	No	
row_9	JUNB	6073	0.16046947240829468	-0.41559154	No	
row_10	GCLC	7003	-0.42080748081207275	-0.491559	No	
row_11	ABCC1	7165	-0.5413060188293457	-0.5036569	No	
row_12	STK25	7187	-0.5580481290817261	-0.50412303	No	
row_13	ATOX1	7401	-0.68904709815979	-0.5197737	No	
row_14	PRNP	7531	-0.7656009197235107	-0.5280371	No	
row_15	G6PD	7539	-0.7724743485450745	-0.5261864	No	
row_16	GSR	7687	-0.8674982786178589	-0.5352584	No	
row_17	CAT	7692	-0.8728931546211243	-0.53248763	No	
row_18	GPX3	7887	-0.9965444803237915	-0.5444605	No	
row_19	GLRX2	7933	-1.0284518003463745	-0.5438705	No	
row_20	TXNRD2	8771	-1.6052223443984985	-0.6024774	Yes	
row_21	LAMTOR5	8898	-1.7002556324005127	-0.6011133	Yes	
row_22	SBNO2	8940	-1.7311065196990967	-0.5923018	Yes	
row_23	GCLM	8996	-1.7659584283828735	-0.58414996	Yes	
row_24	OXSR1	9162	-1.8795089721679688	-0.5833938	Yes	
row_25	NQO1	9177	-1.891243577003479	-0.56999266	Yes	
row_26	PDLIM1	9551	-2.153999090194702	-0.58190084	Yes	
row_27	TXNRD1	9574	-2.1722357273101807	-0.5645132	Yes	
row_28	PRDX4	9583	-2.1814680099487305	-0.5458063	Yes	
row_29	CDKN2D	9605	-2.200296640396118	-0.5278368	Yes	
row_30	HMOX2	9650	-2.2421512603759766	-0.51100916	Yes	
row_31	SOD1	9770	-2.3404524326324463	-0.49853936	Yes	
row_32	PRDX6	10425	-2.9082534313201904	-0.5181045	Yes	
row_33	SOD2	10436	-2.9197068214416504	-0.48423633	Yes	
row_34	NDUFA6	10451	-2.9291043281555176	-0.45047468	Yes	
row_35	PRDX2	10549	-3.024665594100952	-0.42124912	Yes	
row_36	PRDX1	10674	-3.149296522140503	-0.3911208	Yes	
row_37	GPX4	10871	-3.3731791973114014	-0.36099303	Yes	
row_38	NDUFS2	10947	-3.469637155532837	-0.3181906	Yes	
row_39	NDUFB4	11076	-3.65403413772583	-0.27441725	Yes	
row_40	MBP	11433	-4.215846061706543	-0.231471	Yes	
row_41	TXN	11729	-4.907168865203857	-0.15782133	Yes	
row_42	PFKP	12046	-6.886183261871338	0.009080396	Yes	
