NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	PDGFRB	44	6.578192710876465	0.03732391	Yes	
row_1	CDON	97	5.738358974456787	0.064186	Yes	
row_2	TFPI	111	5.561451435089111	0.09239809	Yes	
row_3	ARHGEF9	130	5.400364875793457	0.11852201	Yes	
row_4	PTGFR	216	5.058022499084473	0.1356833	Yes	
row_5	SYNE1	244	4.889316558837891	0.1560785	Yes	
row_6	AMPH	266	4.787241458892822	0.17603718	Yes	
row_7	KIT	274	4.737159252166748	0.19670834	Yes	
row_8	PMP22	295	4.654613018035889	0.21556419	Yes	
row_9	IRS1	302	4.632771015167236	0.23539215	Yes	
row_10	HAS2	303	4.632137298583984	0.25571352	Yes	
row_11	SNAI2	322	4.57081413269043	0.2740035	Yes	
row_12	DAB2	351	4.501267910003662	0.29086435	Yes	
row_13	MMP16	361	4.452226161956787	0.3088894	Yes	
row_14	MAP1B	465	4.222407341003418	0.31720924	Yes	
row_15	PRKCA	501	4.160483360290527	0.33069238	Yes	
row_16	CAV1	517	4.112256050109863	0.34546083	Yes	
row_17	AKT3	585	3.9995005130767822	0.35503873	Yes	
row_18	CAP2	723	3.80722713470459	0.3573738	Yes	
row_19	SDC2	757	3.770831823348999	0.36809632	Yes	
row_20	ID1	895	3.5645718574523926	0.36873725	Yes	
row_21	PRKAR2B	901	3.559088945388794	0.3803183	Yes	
row_22	EFEMP1	982	3.484060049057007	0.38516188	Yes	
row_23	ADORA2B	1033	3.4315521717071533	0.39215636	Yes	
row_24	APBB2	1057	3.417755126953125	0.40130666	Yes	
row_25	PPARG	1191	3.2850818634033203	0.4004671	Yes	
row_26	DLC1	1325	3.1523985862731934	0.3988186	Yes	
row_27	LPAR1	1379	3.106266498565674	0.40354946	Yes	
row_28	NRP1	1400	3.0868663787841797	0.41091082	Yes	
row_29	RASA2	1407	3.0833044052124023	0.4194156	Yes	
row_30	FYN	1436	3.058103084564209	0.42594427	Yes	
row_31	KALRN	1681	2.878117561340332	0.41349846	Yes	
row_32	VLDLR	1761	2.8227169513702393	0.41447496	Yes	
row_33	ITGB3	1774	2.8145294189453125	0.42097947	Yes	
row_34	MAGI2	1805	2.800401449203491	0.42591196	Yes	
row_35	SERPINE1	1832	2.7892038822174072	0.4311178	Yes	
row_36	LTBP1	1837	2.781569004058838	0.43811288	Yes	
row_37	IGFBP5	1895	2.7317049503326416	0.44044015	Yes	
row_38	SMAD3	1971	2.6854913234710693	0.4410334	Yes	
row_39	PTPRM	2049	2.6251752376556396	0.44115698	Yes	
row_40	FZD2	2270	2.4689998626708984	0.42863515	No	
row_41	F3	2431	2.370694398880005	0.42065236	No	
row_42	SMAD7	2489	2.3380415439605713	0.42108944	No	
row_43	RGS4	2690	2.214315176010132	0.40910116	No	
row_44	FBLN5	3107	1.9528932571411133	0.37811854	No	
row_45	KCNMA1	3181	1.9161688089370728	0.3755253	No	
row_46	RBPMS	3420	1.7940781116485596	0.3587816	No	
row_47	BDNF	3447	1.7805343866348267	0.359622	No	
row_48	SCN8A	3493	1.755698561668396	0.35879916	No	
row_49	PLCB4	3710	1.6293303966522217	0.34335083	No	
row_50	RXRA	3747	1.6098805665969849	0.34281164	No	
row_51	DUSP1	3870	1.5271272659301758	0.33487484	No	
row_52	IGF1R	4049	1.407822847366333	0.32194945	No	
row_53	PTPN21	4219	1.3036056756973267	0.30950487	No	
row_54	NR3C1	4243	1.2867352962493896	0.30916026	No	
row_55	SPOP	4290	1.252923607826233	0.30682164	No	
row_56	WDR37	4346	1.2152063846588135	0.30364645	No	
row_57	NOTCH2	4421	1.1733685731887817	0.29879653	No	
row_58	PDLIM5	4523	1.1104146242141724	0.29156515	No	
row_59	GJA1	4551	1.0940260887145996	0.29045337	No	
row_60	CITED2	4610	1.063248634338379	0.2867008	No	
row_61	SYNJ2	4645	1.0465259552001953	0.2849106	No	
row_62	VAV2	4678	1.0258409976959229	0.28324613	No	
row_63	INSIG1	4790	0.9626784324645996	0.27489308	No	
row_64	MAP2K5	4865	0.9102583527565002	0.26952398	No	
row_65	PHF3	4926	0.864899754524231	0.26524284	No	
row_66	MGLL	5100	0.7543784379959106	0.2513951	No	
row_67	INPP4B	5123	0.7438579797744751	0.25008965	No	
row_68	TGFBR3	5255	0.657233476638794	0.23960477	No	
row_69	TGFBR2	5273	0.6453151106834412	0.23858544	No	
row_70	CELF2	5389	0.5617039799690247	0.22932085	No	
row_71	GCNT1	5461	0.5150744915008545	0.22366774	No	
row_72	PIAS3	5516	0.48526281118392944	0.21940012	No	
row_73	BCKDHB	5521	0.4805321991443634	0.21928617	No	
row_74	AGGF1	5737	0.34893572330474854	0.20152207	No	
row_75	ATRX	5749	0.342502236366272	0.20071842	No	
row_76	MAPK14	5991	0.20364101231098175	0.18071611	No	
row_77	MET	6008	0.19520877301692963	0.17942163	No	
row_78	MIOS	6148	0.11935760825872421	0.16787587	No	
row_79	NFKB1	6184	0.09791301190853119	0.16497435	No	
row_80	NEK7	6425	-0.04873171076178551	0.14501818	No	
row_81	CACNA1A	6428	-0.04914679378271103	0.14485414	No	
row_82	COL5A2	6444	-0.06055250018835068	0.14361022	No	
row_83	PIK3CD	6458	-0.06921591609716415	0.14253367	No	
row_84	LAMC1	6509	-0.10025868564844131	0.13838519	No	
row_85	RUNX1	6685	-0.2136518657207489	0.12387541	No	
row_86	NFIB	6888	-0.3508721888065338	0.10719367	No	
row_87	FHL2	6923	-0.36776065826416016	0.10449432	No	
row_88	ACVR2A	7032	-0.4454365670681	0.09570094	No	
row_89	CDK13	7107	-0.4951859712600708	0.08977933	No	
row_90	ABCC1	7165	-0.5413060188293457	0.08531672	No	
row_91	CDC42BPA	7234	-0.5895058512687683	0.07999096	No	
row_92	ZMIZ1	7408	-0.694197952747345	0.06606068	No	
row_93	LDLR	7568	-0.7873979210853577	0.053425413	No	
row_94	SCAF8	7591	-0.8021042943000793	0.05220522	No	
row_95	COL11A1	7629	-0.824709951877594	0.049772453	No	
row_96	COL1A2	7675	-0.8554565906524658	0.046723336	No	
row_97	BHLHE40	7991	-1.0719715356826782	0.021616228	No	
row_98	CDKN1B	7997	-1.0750917196273804	0.022295091	No	
row_99	PRDM2	8076	-1.1354018449783325	0.017029531	No	
row_100	COL3A1	8144	-1.1741148233413696	0.012763408	No	
row_101	YTHDC1	8155	-1.1788660287857056	0.013247998	No	
row_102	NR1D2	8476	-1.4102129936218262	-0.011479755	No	
row_103	ATP2B4	8544	-1.4580198526382446	-0.015038142	No	
row_104	MYC	8678	-1.5371448993682861	-0.02386064	No	
row_105	NIPBL	8826	-1.6548919677734375	-0.033491418	No	
row_106	ATRN	8939	-1.7307759523391724	-0.039968263	No	
