NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	GLS	123	5.449077129364014	0.0111506935	No	
row_1	SHOX2	280	4.715951442718506	0.014184206	No	
row_2	ABCB1	360	4.468461513519287	0.021991873	No	
row_3	COL2A1	362	4.448244571685791	0.03616479	No	
row_4	TYRO3	412	4.342788219451904	0.04567276	No	
row_5	NKX2-5	498	4.166789531707764	0.051103923	No	
row_6	PTPRD	524	4.096346378326416	0.06111196	No	
row_7	C4BPB	536	4.074349403381348	0.072156295	No	
row_8	BMP2	574	4.016334533691406	0.0806974	No	
row_9	MAOA	591	3.9935123920440674	0.090855494	No	
row_10	HMOX1	604	3.9737117290496826	0.101233006	No	
row_11	PLCL1	658	3.899681568145752	0.10777646	No	
row_12	APOM	890	3.5696845054626465	0.0977218	No	
row_13	RET	1021	3.447770357131958	0.0954611	No	
row_14	NTRK3	1245	3.247281312942505	0.08448911	No	
row_15	CDO1	1258	3.231843948364258	0.09101521	No	
row_16	RHOB	1380	3.10516619682312	0.08788641	No	
row_17	DLG4	1420	3.074517250061035	0.09144936	No	
row_18	TCHH	1422	3.0692362785339355	0.098153226	No	
row_19	HTR7	1566	2.9629786014556885	0.09257082	No	
row_20	MMP14	1623	2.920592784881592	0.094053306	No	
row_21	IL6	1808	2.7995920181274414	0.08437843	No	
row_22	CCK	1809	2.798961877822876	0.09002286	No	
row_23	FMO1	1872	2.7520153522491455	0.090316735	No	
row_24	HSPA13	1981	2.6780083179473877	0.086490616	No	
row_25	PRKACA	2071	2.6046745777130127	0.08396753	No	
row_26	NR4A1	2073	2.60202693939209	0.08876234	No	
row_27	CDKN1C	2121	2.5652143955230713	0.08958965	No	
row_28	MSX1	2543	2.3034849166870117	0.058355544	No	
row_29	FOSB	2786	2.15798282623291	0.04155922	No	
row_30	RRAD	2819	2.1370275020599365	0.04218493	No	
row_31	PDLIM3	3069	1.9810174703598022	0.024277981	No	
row_32	CYP1A1	3080	1.9722039699554443	0.02624767	No	
row_33	TACR3	3145	1.9335871934890747	0.02361206	No	
row_34	LHX2	3786	1.5816494226455688	-0.027878923	No	
row_35	OLFM1	3795	1.5772037506103516	-0.026752828	No	
row_36	BTG2	4134	1.3541591167449951	-0.053577196	No	
row_37	YKT6	4280	1.2557992935180664	-0.06451524	No	
row_38	CXCL2	4325	1.2279367446899414	-0.06709279	No	
row_39	IL6ST	4441	1.1620854139328003	-0.07569597	No	
row_40	ONECUT1	4494	1.12680184841156	-0.07911126	No	
row_41	ARRB2	4602	1.066890001296997	-0.08720115	No	
row_42	RXRB	4897	0.888740599155426	-0.111113705	No	
row_43	SLC6A8	4990	0.8274633884429932	-0.11828131	No	
row_44	KCNH2	4991	0.8274431824684143	-0.117788024	No	
row_45	CHRNA5	5079	0.766165018081665	-0.12460966	No	
row_46	CASP3	5276	0.6427558064460754	-0.14063309	No	
row_47	FURIN	5406	0.5506324768066406	-0.15115659	No	
row_48	ATF3	5486	0.5016542077064514	-0.15755367	No	
row_49	DNAJB1	5663	0.38513246178627014	-0.17210248	No	
row_50	AQP3	5782	0.3228272795677185	-0.18185335	No	
row_51	FOS	5803	0.31251198053359985	-0.1834484	No	
row_52	CDC34	6027	0.18754726648330688	-0.20199247	No	
row_53	MAPK8IP2	6058	0.17183418571949005	-0.20446932	No	
row_54	JUNB	6073	0.16046947240829468	-0.20561656	No	
row_55	HSPA2	6156	0.113241046667099	-0.21243554	No	
row_56	GAL	6173	0.10259401053190231	-0.21376029	No	
row_57	NPTX2	6412	-0.043044302612543106	-0.23357743	No	
row_58	CDKN2B	6472	-0.07822899520397186	-0.23848599	No	
row_59	NAT1	6591	-0.14861918985843658	-0.24829605	No	
row_60	CYB5B	6840	-0.3216671943664551	-0.26887268	No	
row_61	PARP2	7045	-0.4551894962787628	-0.28571066	No	
row_62	BTG1	7108	-0.49650853872299194	-0.29069585	No	
row_63	UROD	7158	-0.5364961624145508	-0.29456875	No	
row_64	STK25	7187	-0.5580481290817261	-0.29667595	No	
row_65	GGH	7397	-0.6861557960510254	-0.31374034	No	
row_66	AMD1	7400	-0.6885702610015869	-0.31356528	No	
row_67	CDK2	7466	-0.7314203381538391	-0.31859246	No	
row_68	TUBA4A	7468	-0.7331752181053162	-0.31828842	No	
