NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	NOTCH4	217	5.05706262588501	0.12454585	Yes	
row_1	WNT5B	464	4.224847316741943	0.20367214	Yes	
row_2	GNAI1	482	4.190359592437744	0.30007625	Yes	
row_3	HEY1	705	3.8326685428619385	0.36358115	Yes	
row_4	DKK4	832	3.6431972980499268	0.42711696	Yes	
row_5	CCND2	1778	2.8128204345703125	0.3932174	No	
row_6	DKK1	2660	2.235454797744751	0.34836307	No	
row_7	FZD8	3594	1.6843689680099487	0.2871859	No	
row_8	FZD1	3645	1.6572561264038086	0.2983589	No	
row_9	HDAC5	4059	1.4026473760604858	0.27524176	No	
row_10	NOTCH1	4309	1.2369593381881714	0.26321992	No	
row_11	CUL1	4527	1.1089037656784058	0.25216505	No	
row_12	WNT6	4691	1.0182703733444214	0.24449174	No	
row_13	LEF1	4736	0.9947995543479919	0.24637373	No	
row_14	NUMB	4797	0.9597916007041931	0.24655445	No	
row_15	RBPJ	4945	0.8543274402618408	0.23849125	No	
row_16	TP53	5160	0.7216610312461853	0.22373538	No	
row_17	PSEN2	5646	0.39543280005455017	0.18458986	No	
row_18	PPARD	6322	0.013474817387759686	0.1288978	No	
row_19	KAT2A	6542	-0.1229078620672226	0.11091264	No	
row_20	DVL2	6566	-0.1331830620765686	0.10911375	No	
row_21	PTCH1	6602	-0.15540048480033875	0.10636048	No	
row_22	NCSTN	7034	-0.44730737805366516	0.07191392	No	
row_23	CSNK1E	7124	-0.5085166692733765	0.066011064	No	
row_24	TCF7	7242	-0.5927066802978516	0.058314394	No	
row_25	NCOR2	7379	-0.6765209436416626	0.049642615	No	
row_26	CTNNB1	7577	-0.7919120192527771	0.036881663	No	
row_27	SKP2	7743	-0.903831958770752	0.02781812	No	
row_28	HDAC2	8066	-1.129549503326416	0.008357305	No	
row_29	JAG1	8095	-1.148887038230896	0.013399335	No	
row_30	HDAC11	8194	-1.203174114227295	0.013377018	No	
row_31	MYC	8678	-1.5371448993682861	-0.013313258	No	
row_32	HEY2	8893	-1.6957441568374634	-0.014952812	No	
row_33	AXIN1	9564	-2.167877674102783	-0.044055384	No	
row_34	MAML1	9609	-2.207151412963867	-0.02055071	No	
row_35	ADAM17	10670	-3.144752264022827	-0.052923728	No	
row_36	JAG2	11878	-5.612310886383057	0.022937316	No	
