NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
HALLMARK_OXIDATIVE_PHOSPHORYLATION	HALLMARK_OXIDATIVE_PHOSPHORYLATION	Details ...	166	-0.7466712	-2.2857199	0.0	0.0	0.0	1522	tags=54%, list=13%, signal=60%	
HALLMARK_ESTROGEN_RESPONSE_LATE	HALLMARK_ESTROGEN_RESPONSE_LATE	Details ...	186	-0.7215885	-2.2181993	0.0	0.0	0.0	936	tags=25%, list=8%, signal=26%	
HALLMARK_INTERFERON_ALPHA_RESPONSE	HALLMARK_INTERFERON_ALPHA_RESPONSE	Details ...	76	-0.7883725	-2.2056499	0.0	0.0	0.0	1782	tags=64%, list=15%, signal=75%	
HALLMARK_MYC_TARGETS_V1	HALLMARK_MYC_TARGETS_V1	Details ...	173	-0.71097493	-2.1565533	0.0	0.0	0.0	3041	tags=73%, list=25%, signal=96%	
HALLMARK_INTERFERON_GAMMA_RESPONSE	HALLMARK_INTERFERON_GAMMA_RESPONSE	Details ...	171	-0.70494217	-2.1536527	0.0	0.0	0.0	2113	tags=50%, list=17%, signal=59%	
HALLMARK_ESTROGEN_RESPONSE_EARLY	HALLMARK_ESTROGEN_RESPONSE_EARLY	Details ...	181	-0.6654714	-2.0461223	0.0	0.0	0.0	808	tags=18%, list=7%, signal=19%	
HALLMARK_E2F_TARGETS	HALLMARK_E2F_TARGETS	Details ...	176	-0.66646236	-2.0437353	0.0	0.0	0.0	3037	tags=64%, list=25%, signal=84%	
HALLMARK_MTORC1_SIGNALING	HALLMARK_MTORC1_SIGNALING	Details ...	179	-0.63026905	-1.9337244	0.0	0.0	0.0	2055	tags=40%, list=17%, signal=47%	
HALLMARK_MYC_TARGETS_V2	HALLMARK_MYC_TARGETS_V2	Details ...	53	-0.71311474	-1.9173818	0.0	0.0	0.0	2657	tags=60%, list=22%, signal=77%	
HALLMARK_GLYCOLYSIS	HALLMARK_GLYCOLYSIS	Details ...	181	-0.5883446	-1.7913377	0.0	6.4853346E-4	0.006	2131	tags=31%, list=18%, signal=38%	
HALLMARK_PROTEIN_SECRETION	HALLMARK_PROTEIN_SECRETION	Details ...	94	-0.61276305	-1.7578613	0.0	0.0012706055	0.013	2388	tags=37%, list=20%, signal=46%	
HALLMARK_ADIPOGENESIS	HALLMARK_ADIPOGENESIS	Details ...	163	-0.5671828	-1.7511868	0.0	0.0013379673	0.015	1346	tags=29%, list=11%, signal=33%	
