NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	MLLT11	144	5.355668544769287	0.0071044145	No	
row_1	CFP	915	3.546654224395752	-0.04879237	No	
row_2	FADS1	972	3.497225284576416	-0.045312036	No	
row_3	CTH	1377	3.111867666244507	-0.072583266	No	
row_4	ME1	1478	3.0255794525146484	-0.07482777	No	
row_5	VLDLR	1761	2.8227169513702393	-0.0930579	No	
row_6	IGFBP5	1895	2.7317049503326416	-0.09918566	No	
row_7	CDKN1A	2058	2.618165969848633	-0.10813956	No	
row_8	SLC2A3	2181	2.5261380672454834	-0.114069685	No	
row_9	PPP1R15A	2308	2.4418365955352783	-0.12061302	No	
row_10	POLR3G	2545	2.3032429218292236	-0.1367784	No	
row_11	GLRX	2569	2.292203903198242	-0.13519499	No	
row_12	SYTL2	2634	2.253312349319458	-0.1371524	No	
row_13	NFIL3	3450	1.7790193557739258	-0.2030834	No	
row_14	SLC6A6	3484	1.760240077972412	-0.20377235	No	
row_15	ACSL3	3506	1.745941400527954	-0.2034929	No	
row_16	ELOVL5	3665	1.6479716300964355	-0.21487279	No	
row_17	SLC1A4	4098	1.3749198913574219	-0.24967836	No	
row_18	BTG2	4134	1.3541591167449951	-0.2513776	No	
row_19	FDXR	4178	1.3302110433578491	-0.2537876	No	
row_20	SKAP2	4217	1.3048862218856812	-0.25582469	No	
row_21	YKT6	4280	1.2557992935180664	-0.25994927	No	
row_22	GTF2H1	4478	1.134488821029663	-0.27553785	No	
row_23	RIT1	4534	1.1037501096725464	-0.27931723	No	
row_24	MTHFD2L	4580	1.0763201713562012	-0.28230163	No	
row_25	INSIG1	4790	0.9626784324645996	-0.29913232	No	
row_26	SERPINH1	4794	0.9616662263870239	-0.2987661	No	
row_27	PSPH	4960	0.8431503772735596	-0.3120673	No	
row_28	FADS2	4968	0.8401716351509094	-0.31218103	No	
row_29	DDIT4	4972	0.8379960656166077	-0.3119632	No	
row_30	GGA2	5343	0.5982807874679565	-0.3426145	No	
row_31	PHGDH	5368	0.5792036056518555	-0.34439448	No	
row_32	BCAT1	5466	0.5133068561553955	-0.35231695	No	
row_33	STC1	5661	0.38648873567581177	-0.36841372	No	
row_34	NFKBIB	5694	0.37043511867523193	-0.37099376	No	
row_35	FGL2	5792	0.31901684403419495	-0.3790241	No	
row_36	IFRD1	5954	0.22536656260490417	-0.39243153	No	
row_37	GBE1	5957	0.22445088624954224	-0.3925649	No	
row_38	SCD	5959	0.2241443246603012	-0.3926149	No	
row_39	NUPR1	6002	0.19746072590351105	-0.3960953	No	
row_40	TBK1	6006	0.19632858037948608	-0.39632007	No	
row_41	EDEM1	6110	0.13736747205257416	-0.4049066	No	
row_42	EIF2S2	6219	0.0778476670384407	-0.41391906	No	
row_43	HMGCR	6406	-0.039793696254491806	-0.4294465	No	
row_44	SLA	6427	-0.049010440707206726	-0.4311146	No	
row_45	PDK1	6717	-0.2332862913608551	-0.4552059	No	
row_46	CYB5B	6840	-0.3216671943664551	-0.46532223	No	
row_47	IDI1	6843	-0.3239690065383911	-0.46541923	No	
row_48	PLOD2	6880	-0.34659621119499207	-0.46834463	No	
row_49	DDIT3	6942	-0.3797387480735779	-0.47334114	No	
row_50	GCLC	7003	-0.42080748081207275	-0.47823223	No	
row_51	TMEM97	7168	-0.5446402430534363	-0.49172622	No	
row_52	ETF1	7177	-0.5536920428276062	-0.49218968	No	
row_53	GSK3B	7240	-0.5924572944641113	-0.49713176	No	
row_54	TRIB3	7276	-0.6103257536888123	-0.49980542	No	
row_55	ABCF2	7292	-0.6194595694541931	-0.5008018	No	
row_56	GLA	7382	-0.6776761412620544	-0.50792587	No	
row_57	RDH11	7398	-0.686647355556488	-0.5088638	No	
row_58	TUBA4A	7468	-0.7331752181053162	-0.5142659	No	
row_59	G6PD	7539	-0.7724743485450745	-0.51971203	No	
row_60	LDLR	7568	-0.7873979210853577	-0.52163625	No	
row_61	PPIA	7611	-0.8144150376319885	-0.5247004	No	
row_62	LGMN	7638	-0.8326143622398376	-0.5264088	No	
row_63	CTSC	7663	-0.8499033451080322	-0.5279308	No	
row_64	GSR	7687	-0.8674982786178589	-0.52934915	No	
row_65	DAPP1	7767	-0.9187343716621399	-0.53538173	No	
row_66	ACACA	7888	-0.9972332715988159	-0.544737	No	
row_67	UFM1	7952	-1.046256184577942	-0.5492667	No	
row_68	BHLHE40	7991	-1.0719715356826782	-0.5516729	No	
row_69	PNO1	8109	-1.1589430570602417	-0.56054515	No	
row_70	UCHL5	8230	-1.229496955871582	-0.5695555	No	
row_71	PGM1	8239	-1.233790636062622	-0.5692084	No	
row_72	LTA4H	8242	-1.2369122505187988	-0.56835514	No	
row_73	P4HA1	8290	-1.263173222541809	-0.57121503	No	
row_74	HMGCS1	8291	-1.2647080421447754	-0.57014847	No	
row_75	CDC25A	8445	-1.390437126159668	-0.58163273	No	
row_76	SLC7A5	8548	-1.4595775604248047	-0.5887278	No	
row_77	HK2	8778	-1.6134133338928223	-0.60611033	No	
row_78	ADIPOR2	8789	-1.6221716403961182	-0.6051905	No	
row_79	PNP	8805	-1.6404043436050415	-0.6046485	No	
row_80	PITPNB	8902	-1.701904296875	-0.6107317	No	
row_81	CCNF	8960	-1.7438286542892456	-0.6134627	No	
row_82	HSPA5	9007	-1.7734575271606445	-0.6152058	No	
row_83	PSMD12	9090	-1.8304204940795898	-0.61981755	No	
row_84	DHFR	9135	-1.8552536964416504	-0.6211958	No	
row_85	CCNG1	9137	-1.8556807041168213	-0.6189831	No	
row_86	TUBG1	9161	-1.8774162530899048	-0.6185529	No	
row_87	EGLN3	9173	-1.8902925252914429	-0.6170886	No	
row_88	SEC11A	9180	-1.8931145668029785	-0.61519974	No	
row_89	USO1	9195	-1.9007740020751953	-0.6139594	No	
row_90	RRP9	9210	-1.9142115116119385	-0.61268485	No	
row_91	AURKA	9292	-1.9632368087768555	-0.61687714	No	
row_92	RPA1	9351	-2.008744955062866	-0.6190287	No	
row_93	UBE2D3	9360	-2.013507843017578	-0.6169931	No	
row_94	ATP6V1D	9439	-2.067669630050659	-0.6206543	No	
row_95	SRD5A1	9469	-2.09009051322937	-0.62016237	No	
row_96	PSMD13	9485	-2.1044418811798096	-0.61846155	No	
row_97	MAP2K3	9493	-2.110440492630005	-0.616076	No	
row_98	PLK1	9561	-2.1639931201934814	-0.61854696	No	
row_99	TXNRD1	9574	-2.1722357273101807	-0.6164023	No	
row_100	SLC1A5	9632	-2.2258780002593994	-0.6178573	No	
row_101	CACYBP	9686	-2.2765514850616455	-0.61882615	No	
row_102	PSMC4	9724	-2.3079652786254883	-0.61836326	No	
row_103	ITGB2	9781	-2.34700608253479	-0.61936533	No	
row_104	TCEA1	9782	-2.3475029468536377	-0.61569065	No	
row_105	DDX39A	9787	-2.35107421875	-0.6123387	No	
row_106	CORO1A	9949	-2.4755053520202637	-0.62169373	No	
row_107	TOMM40	9961	-2.484049081802368	-0.6184975	No	
row_108	PSMC2	10103	-2.603113889694214	-0.62575054	Yes	
row_109	PSME3	10126	-2.6297683715820312	-0.62297577	Yes	
row_110	COPS5	10155	-2.649496078491211	-0.6206324	Yes	
row_111	TM7SF2	10161	-2.654533863067627	-0.61635107	Yes	
row_112	NFYC	10182	-2.6720309257507324	-0.6132599	Yes	
row_113	ATP2A2	10204	-2.6999669075012207	-0.6101521	Yes	
row_114	NUP205	10224	-2.7192811965942383	-0.6068076	Yes	
row_115	ADD3	10230	-2.72139310836792	-0.6022866	Yes	
row_116	SHMT2	10254	-2.739478826522827	-0.5992025	Yes	
row_117	PSMB5	10255	-2.7398133277893066	-0.594197	Yes	
row_118	BUB1	10311	-2.7906484603881836	-0.59359574	Yes	
row_119	AK4	10342	-2.819429874420166	-0.5907997	Yes	
row_120	SQSTM1	10391	-2.871889114379883	-0.5893073	Yes	
row_121	RAB1A	10428	-2.9106125831604004	-0.5866637	Yes	
row_122	PSMD14	10461	-2.9373879432678223	-0.5835818	Yes	
row_123	ELOVL6	10527	-3.0070483684539795	-0.58297884	Yes	
row_124	NMT1	10581	-3.066887140274048	-0.5811317	Yes	
row_125	CCT6A	10585	-3.070754051208496	-0.57509434	Yes	
row_126	PDAP1	10600	-3.0814874172210693	-0.5699314	Yes	
row_127	SERP1	10610	-3.0890889167785645	-0.5643197	Yes	
row_128	PRDX1	10674	-3.149296522140503	-0.56296575	Yes	
row_129	HSP90B1	10686	-3.166628122329712	-0.5571976	Yes	
row_130	IDH1	10727	-3.2087411880493164	-0.5536715	Yes	
row_131	UNG	10728	-3.209630012512207	-0.5468021	Yes	
row_132	CALR	10748	-3.2298083305358887	-0.5414323	Yes	
row_133	MCM4	10756	-3.246985912322998	-0.5349865	Yes	
row_134	TFRC	10757	-3.247429847717285	-0.5279544	Yes	
row_135	SSR1	10759	-3.250389337539673	-0.52099293	Yes	
row_136	RRM2	10764	-3.254564046859741	-0.5142638	Yes	
row_137	PSMG1	10851	-3.3557486534118652	-0.51393455	Yes	
row_138	MCM2	10858	-3.3622331619262695	-0.5068974	Yes	
row_139	CANX	10874	-3.3766753673553467	-0.50054663	Yes	
